Index,followers,rt,text
0,900512,49,wash hand make sure use soap get rid germ handwashingawarenessweek
1,900512,17,make commun program inclus peopl disabl remov barrier commun transpor
2,900512,14,1 7 peopl hiv know ask doctor test hiv vitalsign
3,900512,10,drmermincdc call paper cdc amp amjpublichealth seek paper dispar health outcom amp risk behaviorsgt
4,900512,15,cdcncezid rabi zika cdc find better way fight infectiousdiseas check newest innov stopin
5,900512,29,cdcncezid handwash simpl effect way prevent infect could lead sepsi getaheadofsepsi nationa
6,900512,17,cdcncezid babi age 1 higher risk develop sepsi learn getaheadofsepsi
7,900512,3,cdcenviron atsdr intern symposium alsmnd boston discuss nation al registri
8,900512,80,know best way wash hand find handwashingawarenessweek
9,900512,22,half heterosexu men hiv live hiv 5 year find vitalsign
10,900512,13,drdeancdc call paper nchhstp amp amjpublichealth publish special issu health dispar prevent amp treat
11,900512,24,simpl wooden rack like import aspect infect prevent ebola respons
12,900512,59,latest cdcmmwr report say major test flu virus sinc octob 1 2017 remain similar reco
13,900512,18,cdcchronic walk garden promot healthyag get move cdcage
14,900512,49,sometim ill common cold protect babi flu vaccin
15,900512,27,depsechargan visit cdcgov eye ear feder govern come publichealth
16,900512,28,provid make hiv test routin patient age 1364 talk hiv risk vitalsign
17,900512,4,thank join import convers today cdcfoodchat
18,900512,1,big thank today cdcfoodchat cohost nbcnewshealth amp drjohntorr
19,900512,4,like graphic amp gif check social media resourc cdcfoodchat
20,900512,12,want know foodsafeti follow foodsafetygov import consum advic recal info cdcfoodchat
21,900512,7,hope learn key holiday foodsafeti tip today rememb food safe year round cdcfoodchat
22,900512,12,t4 make sure divid larg pot soupsstew big roast small quantiti refriger
23,900512,23,t4 store leftov divid smaller portion piec place shallow contain refriger
24,900512,11,t3 pregnant know someon pregnant women 10 time like peopl get listeria
25,900512,9,t3 holiday favorit food like contain germ listeria caus seriou ill g
26,900512,16,t3 summer veggi use give gift make sure can properli cdcfoodchat
27,900512,15,t3 cook egg dish casserol quich intern temperatur 160 f hotter kill harm
28,900512,11,t3 homemad eggnog favorit holiday beverag raw egg give foodpoison use pasteur egg
29,900512,32,t3 bite batter doughn fall raw cooki cake batter safe eat
30,900512,8,t2 microwav food follow packag direct stand rest time thorough cook cdcfoodchat
31,900512,8,t2 chill get ill keep cold food refriger readi serv cdcfoodchat
32,900512,16,t2 use slow cooker buffet keep hot food 140 f cdcfoodchat
33,900512,9,t2 perish food contain meat poultri fish egg sit room temperatur 2 hour cdcfoodchat
34,900512,7,t2 need help hint plan bacteriafre buffet cdcfoodchat
35,900512,19,t2 bring food parti winter wonderland dangerzon keep cold food 40 f transport
36,900512,13,t2 entertain holiday spread joy germ keep food safe prep food next parti
37,900512,12,correct answer alway wash fruit veggi eat cut cook unless packag
38,900512,5,t1 let foodborn germ crash feastofsevenfish choos serv seafood safe cdcfoodchat
39,900512,6,t1 make chitlin lean import keep kid kitchen prepar chitlin cdcfoodchat
40,900512,5,t1 beef rib roast tenderloin protect herd terribul fate food poison cook roast l
41,900512,8,t1 cook stuf insid bird make sure stuf center reach 165 f cdcfoodchat
42,900512,5,t1 foodsafeti champion season use cook chart deck dinner tabl safe holiday ham
43,900512,45,t1 cook til done poultri 165 f pork beef roast 145 f get groov cdcfoodchat
44,900512,8,t1 cook food right degre make germ free cook kill bacteria import cook
45,900512,22,t1 pop quiz retweet answer rins foodsafeti cdcfoodchat fruit
46,900512,9,t1 test produc safeti smart quiz cdcfoodchat
47,900512,9,t1 get holiday spirit prep meat 2 set tong red raw green cook cdcfoodchat
48,900512,11,t1 avoid germ spread kitchen wash surfac utensil warm soapi water use cdcfoodchat
49,900512,101,t1 handwash one best way protect amp famili get sick cdcfoodchat
50,900512,25,t1 keep raw meat poultri seafood egg separ food store fridg
51,900512,8,t1 follow tip choos store fruit veggi shop food cdcfoodchat
52,900512,8,t1 dyk handl prepar food affect risk foodpoison cdcfoodchat
53,900512,5,4 main topic afternoon prep cook transport serv riski food cleanup leftov cdcfoodchat
54,900512,6,dyk foodborn germ much like put peopl hospit learn cdcfoodchat
55,900512,7,food prepar eat bring peopl togeth share healthi habit famili amp friend cdcfoodchat
56,900512,52,older adult pregnant women peopl weaken immun like get foodpoison foodsafeti
57,900512,34,year us 48m peopl get sick contamin food 1 6 make sure
58,900512,8,dive cdcfoodchat let talk foodsafeti import
59,900512,5,pleas extend warm welcom elizabeth andress food safeti expert professor nchfpuga cdcfoodchat
60,900512,4,excit welcom consumersunion publix chobani walmart mediaplanetusa cdcfoodchat
61,900512,7,join us also welcom myplat minorityhealth teenhealthgov womenshealth cdcfound foodsafetyco
62,900512,6,join us welcom foodsafeti partner foodsafetygov usdafoodsafeti fdafood cdcfoodchat
63,900512,5,cdc foodsafeti expert dr robert taux join us cdcfoodchat
64,900512,3,glad nbcnewshealth cohost us cdcfoodchat
65,900512,5,hello welcom today chat safe amp healthi holiday eat cdcfoodchat
66,900512,3,best way follow chat type cdcfoodchat twitter search box
67,900512,4,question want particip chat sure tweet protect cdcfoodchat
68,900512,7,use cdcfoodchat today discuss foodsafeti holiday eat pleas includ tweet
69,900512,17,meet flu fighter dr xiyan xu dr xu team monitor flu virus around world chang
70,900512,27,spread joy germ join cdcfoodchat today 2pm et learn
71,900512,10,today join us live cdc museum 230 pm et dr ann schuchat cdc princip deputi director talk ab
72,900512,33,older adult check safeti tip stay safe road talk doctor eye check
73,900512,64,40 new hiv infect come peopl know test need vitalsign
74,900512,16,accord new studi jamacurr cchd screen nationwid project save least 120 babi
75,900512,27,cdcchronic give gift time holiday season older famili member appreci realiz
76,900512,172,age 1364 get test hiv least peopl high risk test least annual vitalsign
77,900512,31,parent sick kid antibiot give exactli prescrib
78,900512,16,contain hold becam import part 201415 respons west africa ebola crisi
79,900512,75,mani babi born zika live area affect hurrican famili reloc continu care essentia
80,900512,29,mani babi born zika live area affect recent hurrican special care essenti infant
81,900512,204,cdcdirector opioid overdos epidem one biggest health threat face us american die day
82,900512,15,depsechargan visit emerg oper center cdcgov manag coordin emerg respons diseas outb
83,900512,116,nation influenza vaccin week throughout week meet flufight devot live protectin
84,900512,38,spread joy germ join cdcfoodchat wednesday dec 6 2pm et cdcncezid usdafoodsafeti fdafood
85,900512,37,middlehigh school stem teacher spark interest public health scienc cdcscienceambassador appli 11
86,900512,148,prevent child abus amp neglect earli start necessari lifelong health
87,900512,65,cdcglobal first time hiv histori epidem control possibl today wad2017 let redoubl commit end
