Index,followers,rt,text
0,10162,1,edpartn revbtrfli
1,10162,1,revbtrfli
2,10162,0,faith commun partnership whitehous
3,10162,5,case miss want thank support past 8 year
4,10162,416,whitehous meet eight peopl work bring faith commun govern togeth help serv need
5,10162,5,hhsgov partnership faithbas commun org made posit differ peopl live
6,10162,11,cecilia44 thank faithbasedorg commun organ help us better serv need partners4good
7,10162,1,mind remain done look forward continu work commun leader partners4good faithbasedorg
8,10162,1,read accomplish work last 8 year visit whitehous blog partners4good
9,10162,2,also celebr presid interfaith amp commun servic campu challeng faithbasedorg partners4good
10,10162,0,whitehous faithbas amp neighborhood partnership work wcommun org creat partnerships4good
11,10162,19,usdol faithbasedorg commun partner work us promot econom opportun nationwid
12,10162,3,join us reflect work amp look forward ahead partners4good faithbasedorg
13,10162,8,commercegov blog impact faithbas neighborhood partnership faithbasedorg partners4good whitehous
14,10162,275,johnking respons make sure classroom amp campus safe support place student al
15,10162,0,edpartn advanc dampi report releas ed today
16,10162,1,thank jack kent cook foundat bring power student leader share stori divers ampinclus
17,10162,0,congrat rini thank introduc john king stori
18,10162,1,cecilia muniz saysamerica colleg promis worth celebr way increas colleg access opportun americaspromis
19,10162,1,revbtrfli new student come straight hs first gen adult return equiti experi design
20,10162,2,could made differ acknowledg amp someon dedic train help divers student
21,10162,1,tchkrieger
22,10162,1,thank leadership educ divers america invest incred young voic
23,10162,1,equiti design w student mind key success divers effort student revbtrfli
24,10162,1,translat research practic
25,10162,0,turn back even go sideway
26,10162,0,anecdot data valu tell stori
27,10162,0,enorm expertis within commun
28,10162,0,congrat former sga presid get involvedstep chang campu cultur includ see someth say someth also act
29,10162,8,payton u miss grad take time understand histori student enter door take time know stori
30,10162,1,need think abt altern way assess talent k12 pathway feed colleg must fit realiti commun
31,10162,0,edpartn lesson fisher data crucial need evid record go forward
32,10162,0,edpartn revbtrfli ferguson commun event provid context need racial diversityfish len
33,10162,25,divers inclus essenti element great educ divers classroom encourag creativ thought edundersec
34,10162,2,edundersecthi lifelong pursuit mani youw believ divers amp inclus
35,10162,1,great whitehous today summit advanc postsecondari divers inclus join us
36,10162,4,teachtolead live periscop ruthabuck close ttlsummit
37,10162,2,amandafbarney teach import profess futur countri ruthabuck ttlsummit
38,10162,6,amandafbarney teacher front line dispel myth lost human ruthabuck ttlsummit
39,10162,10,nbpt teacher salv wound countri ruthabuck ttlsummit ttlsummit
40,10162,0,tfitz7 hey ill give mic facilit pic anna
41,10162,9,nbpt richmond teacher resid program model singapor teacher prep power reflect model terri dozi
42,10162,7,teachtolead live periscop secretari ed john king discuss terri dozier 1985 us toy teach lead sum
43,10162,4,nbpt nyc public school teacher save life teacher look hope possibl johnking ttlsummit
44,10162,48,usedgov much chang ahead rest leadership educ johnking
45,10162,1,bertocikimberli resourc job induct train nbc strong nbpt teachtolead ttlsummit
46,10162,5,ascd teachtolead stream speech teacherprep ttlsummit today tomorrow watch
47,10162,10,nbpt dont learn teach text book ttlsummit
48,10162,8,jlatchana rigor rigor practic cant differenti 30 hs student without practic drrluceroaact
49,10162,16,nbpt overheard ttlsummit school need stronger collabor cultur need teacher leadership mindset help us ser
50,10162,4,teachtolead get readi lunch break follow along lunch panel 12 est ttlsummit
51,10162,8,room happen dont want room happensfollow ttlsummit teachtolead
52,10162,8,plkelly27 prepar teacher lead student opportun ttlsummit
53,10162,9,bburn school amp univers better togeth 6 word stori ttlsummit
54,10162,13,shellyfuru teacher prepar produc exponenti ripplettlsummit
55,10162,6,azulzr teacher prep respect profess ttlsummit
56,10162,19,eckertjon teach make profess possibl ttlsummit teachingqu barnettctq
57,10162,3,danbrownteach beauti day teacher leadership teachtolead teacher prep summit usedgov dc ttlsummit
58,10162,7,teachtolead cant believ ttlsummit dc tomorrow getreadi
59,10162,1,join us onlin next two day focu teacher prepar program ttlsummit
60,10162,1,fskmsprincip dr girtonmitchel usd director enjoy media product class goodjobmrv edpartn
61,10162,123,nelsonmandela 3 principl madiba live life free free other amp serv everyday serv humankind
62,10162,1,star staff help eagl fli fskmsprincip
63,10162,1,bloom plant fskmsprincip
64,10162,1,walk w purpos fskmsprincip
65,10162,0,edpartn morn announc franci scott key
66,10162,0,morn show fskmsprincip edpartn find mr v great geographi lesson
67,10162,0,one particip breakout lead wrote great piec picscc cant believ month
68,10162,239,whitehous highqual earli educ one best invest makew ad 60000 children head start
69,10162,229,whitehous africanamerican latino student graduat ever potu progress
70,10162,566,whitehous good news america high school graduat rate reach new record high 83 tune 1125am et
71,10162,220,fafsa fafsa launch earli year got question ask us use askfafsa cover detail tomorrow
72,10162,16386,potu democraci spectat sport dont give power shape futur countri love vote
73,10162,3,thank made picscc possibl gallaudetu usedgov whitehous nationalservic guberkleycent intlshintofdn hartsem
74,10162,0,thank guilfordcolleg northeastern gvsu statedept hhsgov share creat welcom commun challeng
75,10162,5,toolkit statedept campus welcom refuge help return campu picscc
76,10162,1,great first stop exist commun work think begin picscc
77,10162,1,gvsu focus campu amp commun campu servic mosqu commun piec educ comm amp connect resourc picscc
78,10162,1,gvsu began local refuge agenc ask help also heard call within picscc
79,10162,2,northeastern began boston bomb start initi love boston recogn love greatest fight hate picscc
80,10162,1,imagin summer month roomshous go unusedwhat poor use resourc innov think exist resourc picscc
81,10162,5,arab word campu mean sanctuari refug guilfordcolleg picscc
82,10162,1,guilfordcolleg began everi campu refug feel despair need done picscc
83,10162,3,hartsem explor refuge crisi colleg univers campus help picscc everycampusarefug
84,10162,53,johnking call serv deepli person underestim power voiceact improv opportuniti
85,10162,1,join countless other carri nation legaci servic inclus picscc
86,10162,0,beyond civic engag promot discuss crisi possibl host commun forum think solut togeth picscc
87,10162,1,us gather today commit work refuge local commun result would incred picscc
88,10162,0,student org mani campus found volunteersthey welcom refuge wfood drivesgreet airport introduc commun picscc
89,10162,1,student huge part play find solut simpli develop friendship refuge power picscc
90,10162,0,colleg play critic role live refuge continu rebuild live us picscc
91,10162,1,regardless age address crisi colleg uniqu posit serv resourc picscc
92,10162,1,younger gener perhap greatest humanitarian crisi lifetim must address john mccullough picscc
93,10162,3,right 65 million peopl around world displac everyday 34000 peopl forc feel home picscc
94,10162,1,wendycnc student volunt increas likelihood get job 27 picscc
95,10162,1,congrat georgetown guberkleycent win 2015 honor roll interfaith servic picscc
96,10162,0,wendycnc kick celebr presid higher educ honor roll winner congrat thank inspir us picscc
97,10162,0,havent work nationalservic yet interfaith servic wait picscc
98,10162,1,cant believ ittim last plenari picscc potu administr live
99,10162,2,settl close plenari vision picscc commun go share us
100,10162,0,wow plenari give follow johnking dmogah eboopatel ifyc chrisdstedman gucsj thank share us
101,10162,3,saralaugh goal interfaith work creat space ident ident other rabbi daniel roth p
102,10162,8,katieraegordon interfaith servic civic engag campus opportun bring togeth spiritu scholar
103,10162,3,leahsiskin chrisdstedman said take youv learn divers gather like picscc take back less divers area
104,10162,14,melodyfoxahm social justic work everyon matter liber conserv injustic affect us andria wi
105,10162,3,ljelte06 say social justic room amp one disagre social justic mean your divers room pic
106,10162,3,emmagracebw interfaith methodolog allow us move beyond disagr relationship varon soni picscc
107,10162,1,without understand side thrown stone fear go overcom picscc
108,10162,5,panelist interfaith leader speak intersect interfaith academi picscc
109,10162,2,eboopatel remind us potu young interfaith leader 80 bring togeth commun leader common good picscc
110,10162,2,dialogu convers laid brick build cathedr healthi religi divers democraci eboopatel picscc
111,10162,2,hartsem picscc eboo patel easi build healthi religi divers democraci ifyc
112,10162,1,sreynolds05 colleg univers hub nurtur skill build healthi religi divers democraci picscc eboo
113,10162,7,colleg mini cathedr healthi religi divers democraciesprepar leader build reflect nation eboopatel picscc
114,10162,5,divers isnt differ like also differ dont like eboopatel picscc
115,10162,11,work educ deepli shape servic undergrad commit servic give back johnking picscc
