Index,followers,rt,text
0,762245,4,fcc releas latest hurrican maria commun statu report detail maria publicsafeti
1,762245,8,holiday season rememb guard illeg caller id spoof fals info purpos sent caller id fcctip
2,762245,5,recent fcc remov barrier wireless deploy streamlin util pole rule detail
3,762245,1,icymi chairman ajitpaifcc propos review updat fcc rural health care program openmtgfcc
4,762245,5,miss technolog advisori council meet check video broadband tech
5,762245,14,restor internet freedom propos consid agenc decemb meet detail openmtgfcc
6,762245,8,see chairman pai statement impact southern california wildfir telecom network amp public safet
7,762245,11,fcc announc final agenda next week monthli open meet openmtgfcc
8,762245,5,shop til drop keep eye phone watch holiday consum tip webinar fcctip
9,762245,7,fcc seek comment 2017 hurrican season respons effort maria publicsafeti
10,762245,3,check fcctip prevent mobil devic theft protectingconsum
11,762245,3,travel holiday season check fcc guid intern roam
12,762245,3,understand phone bill save money learn fcc truthinbil rule help
13,762245,9,fcc releas latest hurrican maria commun statu report detail maria publicsafeti
14,762245,6,icymi check full text item decemb open meet agenda openmtgfcc
15,762245,12,commiss consid new emerg alert code law enforc call blue alert 1214 openmtgfcc
16,762245,7,back break watch technolog advisori council meet stream
17,762245,18,chairman ajitpaifcc set record straight restor internet freedom order rebut myth fact
18,762245,8,fcc technolog advisori council meet current stream broadband tech fcclive
19,762245,20,file consum complaint via phone 1888callfcc tti 1888tellfcc via web protectingconsum
20,762245,12,recent commiss adopt new rule allow phone compani proactiv block illeg robocal
21,762245,75,icymi chairman ajitpaifcc releas myth vs fact breakdown interest restor internet f
22,762245,9,last week chairman ajitpaifcc condemn threat allegedli made ny congressman relat net neutral
23,762245,6,tomorrow fcc technolog advisori council meet info visit broadband tech
24,762245,18,bewar spoof caller id robocal holiday season watch holiday consum tip webinar fcctip
25,762245,10,icymi chairman ajitpaifcc show protect illeg robocal scam fcctip
26,762245,9,holiday tip ftc amp fcc enjoy holiday care use public wifi fcctip protectingconsum
27,762245,7,holiday tip ftc amp fcc bewar spoof robocal holiday season fcctip protectingconsum
28,762245,10,holiday tip ftc amp fcc password multipl onlin account use easi password like 123 fcctip
29,762245,9,illeg robocal often spoof caller id info amp tri use real event like holiday defraud consum lea
30,762245,8,fcc releas latest hurrican maria commun statu report detail maria publicsafeti
31,762245,12,start fcc amp ftc webinar consum safeti tip holiday fcctip
32,762245,4,start 2pm fcc amp ftc cohost webinar provid consum tip holiday season fcctip
33,762245,17,ti season get scam watch fccftc holiday consum tip webinar 2 pm est today
34,762245,7,fcc releas latest hurrican maria commun statu report detail maria publicsafeti
35,762245,3,dont miss monday fcc amp ftc holiday consum tip webinar fcctip protectingconsum
36,762245,11,miami boston amp new york gener greatest concentr pirat radio activ fcc map
37,762245,8,chairman ajitpaifcc provid consum tip protect illeg robocal scam fcctip
38,762245,12,illeg robocal often spoof caller id info amp tri use real event like holiday defraud consum lea
39,762245,3,fcc warn consum holiday season scam call provid fcctip
40,762245,7,congratul
41,762245,4,fcc intern bureau lead intern telecom amp satellit program amp polici includ licens amp reg
42,762245,2,avoid consum humbug season watch fccftc holiday consum tip webinar 124 2pm est fcctip
43,762245,14,fcc101 feder law gener prohibit oper broadcast radio station wo fcc licens often call pirat radio
44,762245,3,fcc consum amp government affair bureau review consum complaint manag public polici relat roboc
45,762245,13,chairman ajitpaifcc spoke today older american amp technolog project goal confer
46,762245,15,chairman ajitpaifcc today condemn threat allegedli made ny congressman relat net neutral
47,762245,8,fcc amp ftc cohost free webinar provid help holiday consum tip tune monday 2pm est
48,762245,23,chairman releas myth vs fact breakdown interest restor internet freedom propos
49,762245,19,commiss propos 200 million fine year alon appar spoof violat telemarket robocal
50,762245,30,chairman ajitpaifcc restor internet freedom propos publicli avail myth still surround learn
51,762245,7,fcc releas latest hurrican maria commun statu report detail maria publicsafeti
52,762245,13,fcc recent author next gener tv broadcast transmiss standard also known atsc 30
53,762245,13,chairman ajitpaifcc fcc work elimin outdat rule amp unnecessari paperwork
54,762245,17,neighbor spoof caller often scam robocal chang caller id look like come area fcctip
55,762245,12,curiou text restor internet freedom propos read
56,762245,31,read chairman pai remark restor internet freedom
57,762245,12,fcc recent took step help consum avoid unwant call amp prevent spoof scam like infam ir
58,762245,29,chairman pai set record straight restor internet freedom order rebut myth fact
59,762245,21,next gen tv atsc 30 let broadcast voluntarili offer better servic consum like ultra high def
60,762245,20,fcc recent adopt rule allow phone compani proactiv block illeg robocal
61,762245,8,fcc releas latest hurrican maria commun statu report see maria publicsafeti
62,762245,59,get fact restor internet freedom propos includ fact sheet legal background info amp
63,762245,7,fcc consid new emerg alert code law enforc amp updat rural health care program 1214 openmtgfcc
64,762245,15,unlik past full text item openmtgfcc agenda avail public
