Index,followers,rt,text
0,20155,1,look purchas properti greater new orlean area fdic hold auction tomorrow saturday decem
1,20155,4,fdicgov federalreserv usocc support conclus reform intern capit standard baseliii
2,20155,2,fdic honor name one best place work feder govern partnership public servic fedbptw
3,20155,2,fdic banker teleconfer seri small busi resourc commun bank tuesday decemb 12 200 p
4,20155,3,third quarter 2017 fdic state profil avail fifti state puerto rico amp virgin island
5,20155,2,fdic issu list bank examin cra complianc
6,20155,2,look purchas properti greater new orlean area fdic hold auction saturday decemb 9th
7,20155,0,deal debt tip help borrow wise pay loan credit card bill learn
8,20155,2,commun reinvest act exam schedul first second quarter 2018 avail fdicsupervis bank
9,20155,1,fdic banker teleconfer seri small busi resourc commun bank tuesday decemb 12 200 p
10,20155,1,free deposit insur webinar bank offic employe monday decemb 4th 3 pm et learn
11,20155,2,fdic host webinar help increas lender awar understand avail state feder mort
12,20155,4,unhp financialinclus preserv affordableh amp stick bronx read htt
13,20155,2,unhp singl import aspect work stay stick amp sustain work high level ti
14,20155,1,organ interest financi literaci ye join fdic money smart allianc share resourc
15,20155,0,octob 2017 enforc action made public fdic administr hear schedul decemb 2017
16,20155,2,oregon bank offic amp director fdic hold oneday director colleg portland decemb 7th regist
17,20155,2,catch latest fdic money smart financi literaci program
18,20155,4,fdic senior bank analyst ross waldrop one origin founder qbp last qbp press confer
19,20155,2,fdicgov usocc federalreserv final extens certain capit rule transit effect januari 1 2
20,20155,1,agenc announc avail 2016 small busi small farm commun develop lend data
21,20155,1,chairman martin gruenberg open statement third quarter 2017 quarterli bank profil qbp
22,20155,2,fdicinsur institut earn 479 billion third quarter 2017 commun bank net incom rise 6 billion
23,20155,1,watch live fdic third quarter 2017 quarterli bank profil press brief today 1030 et qbp
24,20155,0,watch live tomorrow fdic third quarter 2017 quarterli bank profil press brief tuesday novemb 21 1
25,20155,0,agenc amend cra regul conform hmda regul chang remov refer neighborhood stab
26,20155,2,remark fdic vice chairman thoma hoenig chang financi footprint effect competit
27,20155,0,new jersey bank director truste fdic hold oneday director colleg edison nj decemb 1st
28,20155,1,thank smithschool invit chairman gruenberg speak student answer question
29,20155,0,mark calendar fdic third quarter 2017 quarterli bank profil press brief broadcast live tu
30,20155,0,attend 2017 afcp research train symposium stop exhibit hall learn fdic financ
31,20155,2,fil banker teleconfer seri small busi resourc commun bank registr open fdi
32,20155,3,fdic chairman martin j gruenberg share experi head fdic well futur challeng f
33,20155,0,fdic chairman martin j gruenberg share experi head fdic well futur challeng f
34,20155,2,join fdic chairman martin j gruenberg today 2 pm et brookingsinst discuss financi regul
35,20155,1,join fdic chairman martin j gruenberg brookingsinst discuss financi regul postcrisi p
36,20155,2,join fdic cfpb webinar financi literaci resourc person disabl novemb 15 2
37,20155,4,veteran day fdic honor employe past present serv countri thank servic
38,20155,1,agenc propos addit burdenreduc revis consolid report condit incom call rep
39,20155,0,join fdic chairman martin j gruenberg brookingsinst discuss financi regul postcrisi p
