Index,followers,rt,text
0,2728,2,congrat follow jurisdict receiv gfoa popular annual financi report pafr award
1,2728,0,encor present 2nd annual betterbudget webinar come jan 11 instructor discu
2,2728,2,dwlobo gfoa great gaap updat
3,2728,1,horacekbeth gfoa great present gfoa annual gaap updat inform dynam flow topic
4,2728,0,heathervino5150 poll internet speed impact time
5,2728,0,centsiblecpa enjoy
6,2728,0,bettejoetweet thank particip
7,2728,1,bettejoetweet bett listen gaap updat gfoa gaap
8,2728,0,hmwfg thank particip
9,2728,0,maaiken2 thank particip
10,2728,1,maaiken2 joe enjoy 22nd annual government updat gasb gfoa gaap twitter
11,2728,0,reneeshelli salinaairport thank particip
12,2728,4,love photo come gaap updat particip gfoa
13,2728,0,twesslingcpa thank particip
14,2728,1,lavineddi gaap gfoa rtc miami fl
15,2728,0,lavineddi rtc thank particip
16,2728,0,knit7purl8 thank particip
17,2728,0,lavineddi rtc thank particip
18,2728,1,dwlobo gfoa enjoy gaap updat
19,2728,0,dwlobo thank particip
20,2728,1,gaap updat cityofbereaki thank share selfi us susan meek gfoa
21,2728,0,rdawsonronni thank particip
22,2728,0,nicknelson01 swanburglar22 use gfoa
23,2728,0,heathervino5150 thank particip
24,2728,0,swanburglar22 thank particip
25,2728,0,joejan chrisgfoa thank particip
26,2728,1,chrisgfoa gfoa staff team stand answer question gaap updat
27,2728,1,swanburglar22 pump watch gasb chairman annual gaap updat gfoa
28,2728,0,gaap updat encor underway libbybretthau particip citymb gfoa
29,2728,0,2000 peopl regist today gaap updat encor 1 pm registr inform
30,2728,0,congrat
31,2728,5,congratul gfoa execut board member meckbudget win 2017 john jack vogt lifetim ac
32,2728,2,thousand particip 22nd annual government gaap updat novemb tomorrow well hold first
33,2728,3,morn coffe gfoa tedcruz talk muni bond thank terrif discuss tax reform
34,2728,2,gfoa action hallway meet recept graciou senatorcassidi municip bond thank
35,2728,2,thank senat robert commit preserv municip bond tax reform effort
36,2728,2,gfoa head capitol talk tax reform speakerryan salt advancerefund
37,2728,2,debbycherney talk tax polici issu price rule fun stuff treasuri gfoa
38,2728,0,gfoa member capitol hill meet senat talk advancedrefund pab taxreform
39,2728,2,gfoa committe member continu tax reform talk capitol hill senatorfisch staff
40,2728,1,tax reform discuss capitol hill today gfoa committe member met senat royblunt staff
41,2728,2,gfoa committe member meet senronjohnson capitol hill discuss tax reform includ preserv advanc
42,2728,9,critic financ offic play role organ commun say
43,2728,0,debbycherney address committe member wpfngfoa breakfast washington dc morn gfoa
44,2728,0,let recogn new follow gfoa week thank row4it briansouthey stevestephan shivmcmahon
45,2728,2,gfoa emili brock moder convers tax reform committe meet washington dc nodoubletax
46,2728,2,young gfoa place went learn job say okckenton vicechair debt co
47,2728,2,gfoa winter committe meet continu afternoon washington dc learn gfoa committe
48,2728,2,gfoa past presid marc gonzal talk gfoa committe bestpractic
49,2728,0,fabric cole execut director officialcbc today keynot speaker gfoa winter committe meet
50,2728,3,gfoa committe meet underway jona bieri chair debt committe pictur
51,2728,4,gfoa winter committe meet begin monday washington dc
52,2728,1,pjmccoy714 gfoa board member florida debt director ben watkin address municip forum new york union leagu club
53,2728,2,today gfoa staff assembl stock hygien kit candi bag nightministri youv attend tra
54,2728,0,altlocalgov
55,2728,2,know extens inventori book ebook manual guid cd govern financ
56,2728,0,next week well hold encor present 22nd annual gaap updat regist today account localgov
57,2728,2,interest becom certifi public financ offic offer broad educ selfstudi program
58,2728,2,gfoa execut board nomin committe seek recommend candid fill five atlarg posi
59,2728,1,congrat
60,2728,0,take 10 minut recruit new member new member receiv 10 starbuck gift card learn mo
61,2728,5,bestpractic identifi specif polici procedur contribut improv govern manag exp
62,2728,0,let recogn new follow thank solonfin scehaigk tomheldt liscnyceubiera stantonmcne
63,2728,0,miss gaap updat regist dec 7 encor gfoa localgov
64,2728,4,maplewoodmn congratul financ depart award gfoa excel financi report
65,2728,9,townofmilton 12th consecut year town milton recogn gfoa excel budget financi
66,2728,1,peaceriverab move onto present first offici receipt gfoa award distinguish budget info
67,2728,4,regist gfoa2018 save first discount deadlin feb 1 second discount deadlin march 23 learn
68,2728,4,get motiv build better budget document sign wednesday webinar today
69,2728,0,happythanksgiv
70,2728,5,calltoact senat need hear talk point state amp local tax deduc
71,2728,9,advanc refund muni bond save stateloc govt avg 35 par elimin increas cost infra
72,2728,5,calltoact reach senat preserv salt deduct individu taxpay maintain cost ef
73,2728,2,erikdcolon littl ms ella love gfoa shirt definit futur govern financ offic elgl50 gfoa
74,2728,1,gfoa member jnicholson8063 amp steve william discuss recent tax legisl hous impact lose salt
75,2728,4,gfoa member jnicholson8063 amp steve william discuss impact salt citi town washingtonpost
76,2728,0,look attend gfoa annual confer first time appli firsttim attende scholarship
77,2728,1,calltoact urg congress amend taxbil hr1 remov provis put munibond risk
78,2728,1,learn improv financi decisionmak better forecast one newest public
79,2728,5,gfoa encourag student field govern financ offer annual scholarship full partti
80,2728,4,iamtheweedsjbg thank senatorcardin stand advanc refund bond absolut obscur
81,2728,10,iamtheweedsjbg fight bond keep commun livabl commerc possibl rephultgren callmedutch replukemess
82,2728,5,visit websit late offer mani product resourc gfoa
83,2728,1,cyber thiev take paycheck apsupd ajc scamalert
84,2728,0,let recogn new follow week thank fsfoa katiedaviscpa hasansarsour lizclarknacubo gfoa
85,2728,1,questicainc cityofbrantford congrat
86,2728,1,questicainc citybrampton reddeercounti cityofleduc congrat
87,2728,1,questicainc peaceriverab congrat
88,2728,0,senatorcantwel senatorcardin sensherrodbrown senbobcasey senstabenow ronwyden thank support
89,2728,0,ronwyden senatorcardin sensherrodbrown thank defend deduct state local tax salt
90,2728,0,senatormenendez senatorcantwel senbobcasey senatorcarp thank defend state local tax deduct individu salt
91,2728,0,mccaskilloffic thank defend state local tax deduct salt
92,2728,0,public speak got becom better speaker identifi kind audienc make nervou
93,2728,0,gfoa employe joe mccauley talk veteran day mean happyveteransday
94,2728,10,pjmccoy714 state local govern take note advanc refund risk result higher cost taxpay rate payer
95,2728,0,miss last week gaap updat join encor present dec 7 jan 18 learn everyth need
96,2728,8,senat releas tax plan advanc refund sl govern offici chop block
97,2728,1,look advanc career financ follow gfoajob twitter page today stay connect job openi
98,2728,1,learn gfoa new bestpractic attend webinar thursday nov 9 24 pm cours
99,2728,2,new manag govexec offer 7 idea help transit wisdomwednesday
100,2728,3,twitter expand 280charact mean abl tell even great thing r
101,2728,2,congrat tampabaywat cityofpowelloh traviscountytx win gfoa popular annual financi report awar
102,2728,2,newsroom socialmedia post learn work w new media attend webinar wednesday
103,2728,0,let recogn new follow week thank davidmatkin nickshawkin dzmitrad kathrynsfunblog
104,2728,3,regist gfoa2018 st loui may 69 share idea sharpen skill amp discov new tool amp technolog
105,2728,7,tell member congress support amend offer fulli preserv salt
106,2728,1,tell member congress support amend offer maintain pab issuanc
107,2728,5,tell member congress support amend maintain advanc refund option muni debt issuer
108,2728,3,alert congress set elimin advanc refund pab bond issuanc salt contact rep
109,2728,2,demerathj gfoa mattbub thank opportun
110,2728,0,gfoa presid pjmccoy714 testifi capit market subcommitte today watch replay
111,2728,1,member registr open gfoa2018 st loui join thousand public financ profession may 69
112,2728,0,great journey inde smarterschoolspend schoolbudget
113,2728,2,tip new smarterschoolspend district fortschool demerathj schoolbudget bestpractic
114,2728,0,smarterschoolspend
115,2728,0,clairehertz amp other beavertonsd speak allianc attende collabor amp plan
116,2728,0,pjmccoy714 testifi hous fin svc subcmt tell congress muni issuer access short term capit help bu
117,2728,0,pjmccoy714 messag hous fin svc capit mkt subcommitte mini issuer access short term capit help
118,2728,1,focu trust barrier turnov risk commun keyword allianc attende discuss
119,2728,0,happen gfoa presid pjmccoy714 testifi capit market subcommitte
120,2728,1,team exercis underway discuss work work schoolbudget process
121,2728,5,gfoa shayn kavanagh begin day two allianc talk appreci interview
122,2728,1,tune friday 915 watch gfoa presid pjmccoy714 testifi capit market subcommitte
123,2728,1,big thank staff particip today webinar answer question gaap gfoa
124,2728,0,suptsoma tell schoolbudget stori tcapsnew allianc confer smarterschoolspend
125,2728,0,experi use smarterschoolspend framework jmmarte3
126,2728,0,great discuss among attende allianc excel schoolbudget confer smarterschoolspend
127,2728,1,convers shift issu tree allianc confer smarterschoolspend schoolbudget
128,2728,0,deborah sim pivotlearn get audienc think plan schoolbudget process
129,2728,0,ohjennifert
130,2728,0,come new hashtag year allianc excel schoolbudget confer
131,2728,0,fumingbip enjoy
132,2728,0,lofatblowfish question everi hour
133,2728,0,monicamoniberng glad your enjoy
134,2728,0,love see gaap watch parti gfoa
135,2728,1,thousand particip today gaap updat gfoa
136,2728,0,gaap updat underway couldnt particip today two encor plan dec amp jan
137,2728,1,chriscaldwell5 knoxgov cityknoxvilletn pughcpa account depart particip gfoa gaapupd
138,2728,1,mommatrex gfoa ask oblig wmi webinar particip pic everyon els jealous hatin next 4 hr pl sen
139,2728,1,mvhcpa gfoa gfoa offic watch gaap webinar
140,2728,1,debbycherney account team leader readi learn gfoa gfoa annual gaap updat
141,2728,1,azcham gfoa gfoa particip annual gasb updat
142,2728,0,lakeschool work smarterschoolspend current highlight allianc confer
143,2728,0,develop goalsroot caus analysi current topic allianc confer mattbub schoolbudget
144,2728,0,nate levenson w district manag group talk close achiev gap schoolbudget bestpractic
145,2728,1,attende discuss work well need improv relat schoolbudget district
146,2728,0,selfassess underway allianc excel schoolbudget confer smarterschoolspend
147,2728,0,mattbub talk bestpractic schoolbudget roadmap today allianc confer
148,2728,1,attende began today allianc confer talk other hope learn
149,2728,2,chrisgfoa give open remark allianc excel schoolbudget fall confer chicago
150,2728,0,cwildmancpa dps109 rivertrailsd26 tweetsfrom226 nssd112 welcom
151,2728,0,czzuto enjoy
152,2728,1,attende school district nearli 20 state week allianc excel
153,2728,1,dive teamwork wisdomwednesday wallybock
154,2728,0,localgov halloween2017 fun photo came melinda felp lafcompplan
155,2728,0,halloween2017 rcgov financ offic paulin sumption snap photo
156,2728,0,cityofconro enjoy halloween2017 steve william share photo us
157,2728,1,salt report mention numer nation media outlet thank staff hard work
158,2728,0,happyhalloween
159,2728,0,let recogn new follow week thank francescaskb treasurerderek dbein karilyn77
160,2728,0,hit 4k registr gaap updat sign week webinar encor dec amp jan
161,2728,2,two big gfoa event come check week calendar gaap schoolbudget
162,2728,1,cwildmancpa look forward learn gfoa bestpractic schoolbudget smarterschoolspen
163,2728,0,allan carmodi chesterfieldva speak capit budget amp infrastructur financ train glendal
164,2728,1,pjmccoy714 great see fellow gfoa board member friend ben watkin meet nation feder muni anayst
165,2728,1,less week away biggest webinar year regist
166,2728,4,lizfarmertweet recircul gfoa studi state local tax deduct realli help statswho affect
167,2728,0,congrat czzuto backpack full goodi gfoa
168,2728,1,nodoubletax repjasonlewi eliminatingrestrict salt hurt district vote tomorrow budget h
169,2728,1,nodoubletax repdavetrott vote budget see elimin restrict salt hurt constitu
170,2728,2,nodoubletax repmikebishop vote budget see impact eliminatingrestrict salt mi8
171,2728,1,nodoubletax repandyharrismd hous budget vote see elimin restrict salt hurt district
172,2728,1,nodoubletax repkevinyod elimin restrict salt hurt famili district vote budget
173,2728,1,nodoubletax repdavidyoung vote budget see elimin restrict salt hurt ia03
174,2728,3,nodoubletax repmikecoffman budget vote see elimin restrict salt hurt famili district
175,2728,1,nodoubletax danarohrabach vote budget see elimin restrict salt hurt constitu
176,2728,2,nodoubletax repmimiwalt vote budget see restrict elimin salt would hurt ca45
177,2728,2,nodoubletax repedroyc ahead budget vote see chang salt hurt famili district
178,2728,2,nodoubletax steveknight25 vote budget fulli preserv salt protect famili district ht
179,2728,1,nodoubletax repchrissmith ahead budget vote run eliminatingrestrict salt hurt constitu
180,2728,2,nodoubletax repkenmarch stand homeown texa amp vote budget dont eliminaterestrict salt
181,2728,1,nodoubletax repsmuck elimin restrict salt deduct vote budget resolut
182,2728,1,nodoubletax repbrianfitz eliminatingrestrict salt hurt pa famili vote budget resolut
183,2728,2,nodoubletax repmeehan vote budget philli suburb hurt eliminatingrestrict salt vote budget
184,2728,2,nodoubletax repmeehan vote budget philli suburb hurt eliminatingrestrict salt vote budget
185,2728,1,nodoubletax repryancostello pa cant afford doubl tax eliminatingrestrict salt hurt pa vote budget
186,2728,1,nodoubletax davereichert eliminatingrestrict salt hurt wa famili vote budget resolut
187,2728,1,nodoubletax robwittman eliminatingrestrict salt hurt constitu vote budget resolut
188,2728,2,nodoubletax miablov vote budget resolut hurt utah famili eliminatingrestrict salt
189,2728,1,nodoubletax claudiatenney vote budget resolut hurt central ny famili eliminatingrestrict salt
190,2728,1,nodoubletax repstefanik eliminatingrestrict salt hurt constitu vote budget resolut
191,2728,1,nodoubletax repjohnfaso see ny famili would impact budget resolut eliminatesrestrict salt
192,2728,2,nodoubletax repjimrenacci elimin restrict salt hurt ohioian put ohio first vote budget
193,2728,1,nodoubletax pattiberi vote budget amp protect ohio homeown learn impact eliminatingrestrict salt
194,2728,2,nodoubletax repjohnkatko dont doubl tax nyer vote budget calcul impact elimin restrict salt
195,2728,2,nodoubletax repmiketurn ohio lose salt elimin restrict vote budget learn
196,2728,2,mattbub thank pivotlearn edpolicyinca referenc gfoa bestpractic schoolbudget ht
197,2728,0,good advic wisdomwednesday
198,2728,2,advanc government account train underway glendal az current topic room crossov
199,2728,0,tholloman1967 enter win
200,2728,2,congrat follow jurisdict receiv gfoa popular annual financi report pafr award
201,2728,0,encor present 2nd annual betterbudget webinar come jan 11 instructor discu
202,2728,2,dwlobo gfoa great gaap updat
203,2728,1,horacekbeth gfoa great present gfoa annual gaap updat inform dynam flow topic
204,2728,0,heathervino5150 poll internet speed impact time
205,2728,0,centsiblecpa enjoy
206,2728,0,bettejoetweet thank particip
207,2728,1,bettejoetweet bett listen gaap updat gfoa gaap
208,2728,0,hmwfg thank particip
209,2728,0,maaiken2 thank particip
210,2728,1,maaiken2 joe enjoy 22nd annual government updat gasb gfoa gaap twitter
211,2728,0,reneeshelli salinaairport thank particip
212,2728,4,love photo come gaap updat particip gfoa
213,2728,0,twesslingcpa thank particip
214,2728,1,lavineddi gaap gfoa rtc miami fl
215,2728,0,lavineddi rtc thank particip
216,2728,0,knit7purl8 thank particip
217,2728,0,lavineddi rtc thank particip
218,2728,1,dwlobo gfoa enjoy gaap updat
219,2728,0,dwlobo thank particip
220,2728,1,gaap updat cityofbereaki thank share selfi us susan meek gfoa
221,2728,0,rdawsonronni thank particip
222,2728,0,nicknelson01 swanburglar22 use gfoa
223,2728,0,heathervino5150 thank particip
224,2728,0,swanburglar22 thank particip
225,2728,0,joejan chrisgfoa thank particip
226,2728,1,chrisgfoa gfoa staff team stand answer question gaap updat
227,2728,1,swanburglar22 pump watch gasb chairman annual gaap updat gfoa
228,2728,0,gaap updat encor underway libbybretthau particip citymb gfoa
229,2728,0,2000 peopl regist today gaap updat encor 1 pm registr inform
230,2728,0,congrat
231,2728,5,congratul gfoa execut board member meckbudget win 2017 john jack vogt lifetim ac
232,2728,2,thousand particip 22nd annual government gaap updat novemb tomorrow well hold first
233,2728,3,morn coffe gfoa tedcruz talk muni bond thank terrif discuss tax reform
234,2728,2,gfoa action hallway meet recept graciou senatorcassidi municip bond thank
235,2728,2,thank senat robert commit preserv municip bond tax reform effort
236,2728,2,gfoa head capitol talk tax reform speakerryan salt advancerefund
237,2728,2,debbycherney talk tax polici issu price rule fun stuff treasuri gfoa
238,2728,0,gfoa member capitol hill meet senat talk advancedrefund pab taxreform
239,2728,2,gfoa committe member continu tax reform talk capitol hill senatorfisch staff
240,2728,1,tax reform discuss capitol hill today gfoa committe member met senat royblunt staff
241,2728,2,gfoa committe member meet senronjohnson capitol hill discuss tax reform includ preserv advanc
242,2728,9,critic financ offic play role organ commun say
243,2728,0,debbycherney address committe member wpfngfoa breakfast washington dc morn gfoa
244,2728,0,let recogn new follow gfoa week thank row4it briansouthey stevestephan shivmcmahon
245,2728,2,gfoa emili brock moder convers tax reform committe meet washington dc nodoubletax
246,2728,2,young gfoa place went learn job say okckenton vicechair debt co
247,2728,2,gfoa winter committe meet continu afternoon washington dc learn gfoa committe
248,2728,2,gfoa past presid marc gonzal talk gfoa committe bestpractic
249,2728,0,fabric cole execut director officialcbc today keynot speaker gfoa winter committe meet
250,2728,3,gfoa committe meet underway jona bieri chair debt committe pictur
251,2728,4,gfoa winter committe meet begin monday washington dc
252,2728,1,pjmccoy714 gfoa board member florida debt director ben watkin address municip forum new york union leagu club
253,2728,2,today gfoa staff assembl stock hygien kit candi bag nightministri youv attend tra
254,2728,0,altlocalgov
255,2728,2,know extens inventori book ebook manual guid cd govern financ
256,2728,0,next week well hold encor present 22nd annual gaap updat regist today account localgov
257,2728,2,interest becom certifi public financ offic offer broad educ selfstudi program
258,2728,2,gfoa execut board nomin committe seek recommend candid fill five atlarg posi
259,2728,1,congrat
260,2728,0,take 10 minut recruit new member new member receiv 10 starbuck gift card learn mo
261,2728,5,bestpractic identifi specif polici procedur contribut improv govern manag exp
262,2728,0,let recogn new follow thank solonfin scehaigk tomheldt liscnyceubiera stantonmcne
263,2728,0,miss gaap updat regist dec 7 encor gfoa localgov
264,2728,4,maplewoodmn congratul financ depart award gfoa excel financi report
265,2728,9,townofmilton 12th consecut year town milton recogn gfoa excel budget financi
266,2728,1,peaceriverab move onto present first offici receipt gfoa award distinguish budget info
267,2728,4,regist gfoa2018 save first discount deadlin feb 1 second discount deadlin march 23 learn
268,2728,4,get motiv build better budget document sign wednesday webinar today
269,2728,0,happythanksgiv
270,2728,5,calltoact senat need hear talk point state amp local tax deduc
271,2728,9,advanc refund muni bond save stateloc govt avg 35 par elimin increas cost infra
272,2728,5,calltoact reach senat preserv salt deduct individu taxpay maintain cost ef
273,2728,2,erikdcolon littl ms ella love gfoa shirt definit futur govern financ offic elgl50 gfoa
274,2728,1,gfoa member jnicholson8063 amp steve william discuss recent tax legisl hous impact lose salt
275,2728,4,gfoa member jnicholson8063 amp steve william discuss impact salt citi town washingtonpost
276,2728,0,look attend gfoa annual confer first time appli firsttim attende scholarship
277,2728,1,calltoact urg congress amend taxbil hr1 remov provis put munibond risk
278,2728,1,learn improv financi decisionmak better forecast one newest public
279,2728,5,gfoa encourag student field govern financ offer annual scholarship full partti
280,2728,4,iamtheweedsjbg thank senatorcardin stand advanc refund bond absolut obscur
281,2728,10,iamtheweedsjbg fight bond keep commun livabl commerc possibl rephultgren callmedutch replukemess
282,2728,5,visit websit late offer mani product resourc gfoa
283,2728,1,cyber thiev take paycheck apsupd ajc scamalert
284,2728,0,let recogn new follow week thank fsfoa katiedaviscpa hasansarsour lizclarknacubo gfoa
285,2728,1,questicainc cityofbrantford congrat
286,2728,1,questicainc citybrampton reddeercounti cityofleduc congrat
287,2728,1,questicainc peaceriverab congrat
288,2728,0,senatorcantwel senatorcardin sensherrodbrown senbobcasey senstabenow ronwyden thank support
289,2728,0,ronwyden senatorcardin sensherrodbrown thank defend deduct state local tax salt
290,2728,0,senatormenendez senatorcantwel senbobcasey senatorcarp thank defend state local tax deduct individu salt
291,2728,0,mccaskilloffic thank defend state local tax deduct salt
292,2728,0,public speak got becom better speaker identifi kind audienc make nervou
293,2728,0,gfoa employe joe mccauley talk veteran day mean happyveteransday
294,2728,10,pjmccoy714 state local govern take note advanc refund risk result higher cost taxpay rate payer
295,2728,0,miss last week gaap updat join encor present dec 7 jan 18 learn everyth need
296,2728,8,senat releas tax plan advanc refund sl govern offici chop block
297,2728,1,look advanc career financ follow gfoajob twitter page today stay connect job openi
298,2728,1,learn gfoa new bestpractic attend webinar thursday nov 9 24 pm cours
299,2728,2,new manag govexec offer 7 idea help transit wisdomwednesday
300,2728,3,twitter expand 280charact mean abl tell even great thing r
301,2728,2,congrat tampabaywat cityofpowelloh traviscountytx win gfoa popular annual financi report awar
302,2728,2,newsroom socialmedia post learn work w new media attend webinar wednesday
303,2728,0,let recogn new follow week thank davidmatkin nickshawkin dzmitrad kathrynsfunblog
304,2728,3,regist gfoa2018 st loui may 69 share idea sharpen skill amp discov new tool amp technolog
305,2728,7,tell member congress support amend offer fulli preserv salt
306,2728,1,tell member congress support amend offer maintain pab issuanc
307,2728,5,tell member congress support amend maintain advanc refund option muni debt issuer
308,2728,3,alert congress set elimin advanc refund pab bond issuanc salt contact rep
309,2728,2,demerathj gfoa mattbub thank opportun
310,2728,0,gfoa presid pjmccoy714 testifi capit market subcommitte today watch replay
311,2728,1,member registr open gfoa2018 st loui join thousand public financ profession may 69
312,2728,0,great journey inde smarterschoolspend schoolbudget
313,2728,2,tip new smarterschoolspend district fortschool demerathj schoolbudget bestpractic
314,2728,0,smarterschoolspend
315,2728,0,clairehertz amp other beavertonsd speak allianc attende collabor amp plan
316,2728,0,pjmccoy714 testifi hous fin svc subcmt tell congress muni issuer access short term capit help bu
317,2728,0,pjmccoy714 messag hous fin svc capit mkt subcommitte mini issuer access short term capit help
318,2728,1,focu trust barrier turnov risk commun keyword allianc attende discuss
319,2728,0,happen gfoa presid pjmccoy714 testifi capit market subcommitte
320,2728,1,team exercis underway discuss work work schoolbudget process
321,2728,5,gfoa shayn kavanagh begin day two allianc talk appreci interview
322,2728,1,tune friday 915 watch gfoa presid pjmccoy714 testifi capit market subcommitte
