Index,followers,rt,text
0,288059,41,cdcgov wash hand make sure use soap get rid germ handwashingawarenessweek
1,288059,20,one week away end open enrol get cover 2018 dec 15 deadlin gt
2,288059,11,cdcflu help fightflu fluvax resourc 20 languag cmsgov calmediconnect
3,288059,0,natebenderama sorri inconveni nate tri call center help 8003182596
4,288059,4,minorityhealth flu vaccin help fightflu get flu shot locat near
5,288059,31,cdcflu take villag 201516 flu season estim 5 million flu ill prevent flu shot clinician
6,288059,0,meggyhead elig still determin therefor still send email confirm
7,288059,0,carynorthrop hi cari detail step remov member applic
8,288059,0,ernai alway local help speak someon person
9,288059,58,miss 2018 coverag final deadlin decemb 15 year come see plan price open enr
10,288059,17,medicaregov today rememb honor 2403 american kill japanes surpris attack pearlharbor
11,288059,15,cdcflu nivw meet flufight partner learn work flu prevent us around world
12,288059,0,buckyrian troubl chang plan contact call center 8003182596 find local
13,288059,0,gregariousali bcbsnc hi purchas dental plan marketplac
14,288059,0,sikeitsmissi hi missi call center inde open 247 thank ask
15,288059,62,phegov wildfir threaten southern california emerg planner amp administr mani health care facil wonder wha
16,288059,80,take care get cover rememb final deadlin get 2018 coverag decemb 15 less
17,288059,0,carynorthrop may abl get marketplac in instead employ in howev probabl qualifi
18,288059,0,carynorthrop hi cari gener question
19,288059,0,mlfairfield8 hi michel inde avoid penalti great hear your cover
20,288059,27,seemacm custom satisfact marketplac call center alltim high 90 percent thank great team cmsgov appro
21,288059,11,girlshealth let flu find best way prevent nivw fightflu
22,288059,77,myplat dyk nation handwash awar week sure wash hand soap water handl food
23,288059,11,cdctobaccofre quit smoke protect around secondhand smoke exposur tuesdaythought
24,288059,10,minorityhealth nivw nation observ highlight import flu vaccin everyon 6 month older visit
25,288059,6,hhsregion7 famili friend gather holiday flu activ increas time get flu vaccin
26,288059,27,cdcchronic give gift time holiday season older famili member appreci realiz
27,288059,9,cdcflu meet dr dan jernigan one cdc princip flufight lead cdc effort understand detect flu stay
28,288059,45,myplat activ start slowli gradual build time spend activ find tip
29,288059,1,hhsregion9 get colder outsid may tempt curl warm beverag dyk medium latt w whole milk th
30,288059,11,healthfind late get flu shot make plan get shot today
31,288059,17,hhshealthreg2 singl best way prevent season flu get vaccin year good health habit like cover
32,288059,0,mallhand matt give call center ring 8003182596 repres help
33,288059,0,kvelezgi hi kenneth check applic make sure arent reenrol plan thru mar
34,288059,6,hhsregion8 holiday parti learn foodsafeti tip cdcfoodchat wednesday 126 23 pm et
35,288059,0,kkhudnal hi kari pay premium directli insur log site possibl pay premium
36,288059,0,noahmgrandma hi kim may abl switch marketplac plan howev note probabl wo
37,288059,0,8888seb happi hear call center servic great share kudo repres thank much
38,288059,0,morganrdc healthcaregovit medsupplychain believ need follow us privat convers
39,288059,0,amer1canthigh gener case marketplac case standalon dent
40,288059,0,danmey hi dan follow state medicaid offic check statu
41,288059,0,morganrdc healthcaregovit morgan hit us dm account locat youd like cover
42,288059,49,cdcflu learn tell differ bad cold flu fightfluchat dec 4 1 pm et join us
43,288059,12,minorityhealth omh launch men health commun dialogu lo angel california decemb 4 convers addr
44,288059,0,gododgerr roger give call center ring 8003182596 help password reset well notifi ap
45,288059,61,wait final deadlin see plan price get cover dec15
46,288059,9,womenshealth hcp use evidencebas smoke cessat tool amp resourc help patient lcam h
47,288059,5,hhshealthreg2 cdcgov great webpag diabet cover basic resourc saludtu
48,288059,30,myplat teach kid healthi eat fun activ tri groceri store bingo food art food critic activ
49,288059,93,lookout open enrol 2018 coverag end decemb 15
50,288059,0,namepuzzle4kid abl use 2016 2017 yet youd like clarif c
51,288059,31,hhsgov look way help children stay activ balanc amount time spend front screen activ
52,288059,0,namepuzzle4kid estim yearli incom selfemploy may difficult provid
53,288059,15,hhsgov learn basic copd sign amp symptom higher risk develop co
54,288059,0,brianvjarvi hi brian updat applic better later detail
55,288059,10,medlineplu demand shop amp famili lead feel tension tip relief tension headach develop
56,288059,0,morganrdc healthcaregovit long countri plan countri may qu
57,288059,0,autumntwilight lorri congrat newborn get health in marketplac check
58,288059,0,oscarperria oscar check link full list exempt
59,288059,0,okaytrip deadlin dec 15 get 2018 coverag
60,288059,89,enrol miss chanc 2018 coverag deadlin less four week away
61,288059,0,morganrdc healthcaregovit hi morgan look situat tri contact call center help 8003182596
62,288059,12,minorityhealth shift balanc cut screentim increas activ play reduc childhood obes nahm17
63,288059,6,hhsregion5 know risk associ prescript opioid talk doctor rxawar talk love one thi
64,288059,5,hhsregion8 rememb tell whether thanksgiv turkey emoji safe cook look sure
65,288059,67,usda thank thanksgiv happythanksgivingev
66,288059,0,kylecoopah kyle give call center ring may abl 8003182596
67,288059,24,fdatobacco estim 9000 peopl us die year diabet caus cigarett smoke nationaldiabetesmonth
68,288059,140,cdcgov protect babi prevent diseas anoth reason thank vaccin
69,288059,24,hhsgov rememb tell whether thanksgiv safe cook look sure tip foodsaf
70,288059,5,hhsregion9 pass gift health thanksgiv everyday
71,288059,129,forget open enrol shorter year less month final deadlin dec 15
72,288059,49,myplat whether your plan menu host dinner come guest use tip reduc food wast
73,288059,64,cdcchronic stay healthi holiday season 7 tip help promot healthyholiday h
74,288059,0,courtneywrit courtney refer csr call center
75,288059,1,arosesullivan quit unusu pleas contact call center assist 8003182596
76,288059,0,benbeck jhtscherck coveredca hi benjamin appli ca coveredca run mark
77,288059,0,moav5706 happi coverag abl 1click unsubscrib email
78,288059,0,oczamora19 hey coach give call center call 8003182596 assist
79,288059,0,carolinegilli carolin qualifi medicaid also 22 still allow parent
80,288059,0,jhtscherck coveredca hi johnhenri coveredca run exchang outsid marketplac therefor
81,288059,0,vincefont hi vinc may abl chang profil set otherwis youll need contact c
82,288059,0,punkyroo hi kati open enrol actual dec15 2018 coverag
83,288059,0,perpetualash hope get applic straighten
84,288059,0,perpetualash member show one page unfortun may contact cal
85,288059,0,perpetualash hi ashley tri middl page stepbystep direct
86,288059,8,hhsregion8 ask question amp learn diabet diabeticeyediseas join eyeondiabet chat thursday nov 16 12pm et
87,288059,0,esuther12 hi emili answer ye actual avail info check
88,288059,0,davidedmcdonald christenma christen refer health insur your luck open en
89,288059,0,olddiogen happi help
90,288059,25,mktplaceab need info help consum get cover plan year 2018 open enrol visit
91,288059,5,hhsregion8 tip encourag 7 make list import reason decid quit keep list cont
92,288059,0,olddiogen hi michael live dc shouldnt use site dc marketplac call dc
93,288059,0,pam4district4 sorri hear pam give call center ring 8003182596 csr abl assist
94,288059,0,holaloula may take littl bit system sync last night morn give day
95,288059,0,peachpodshop give call center ring 8003182596
96,288059,7,tuesdaythought morn greatamericansmokeout
97,288059,101,myplat drink import eat 10 tip make better beverag choic myplatemyw
98,288059,21,cdctobaccofre americancanc gaso day away make 1116 day go smokefre
99,288059,21,mktplaceab open enrol question ask expert cm offic hour 1115
100,288059,8,millionheartsu join greatamericansmokeout 1116 use shareabl social media messag get involv
101,288059,38,myplat replac coffe break brisk walk ask friend go tell us tip fit activ day
102,288059,13,medlineplu cut back salt along follow highli recommend dash diet beat back highbloodpressur adult
103,288059,5,niddkgov role play help student patient wdiabet succeed share wu ddpblog
104,288059,0,themelecio your golden howev 2017 coverag marketplac may want contact
105,288059,6,hhsprevent use eat healthi activ workshop guid help peopl commun make healthi choic
106,288059,8,hhsregion8 type 2 diabet lead blind smoke direct caus type 2 diabet via fdatobacc
107,288059,0,jennier27990167 hi jenni give call center call 8003182596 may someth
108,288059,28,hhsgov thank servic sacrificeveteransday
109,288059,21,mktplaceab 7 day left enrol small group client shop decemb coverag sign client today
110,288059,8,thursdaythought
111,288059,32,cmsgovpress cm releas first weekli enrol snapshot federallyfacilit exchang
112,288059,69,myplat new blog post usdafoodsafeti everyth need know stay food safe holiday
113,288059,11,let flu get make coverag amp protect coverage2car show
114,288059,0,crspyb apolog inconveni cannot assist pw reset tri contact
115,288059,25,mktplaceab preview 2018 plan price click
116,288059,12,usfda food safeti import everyon diagnos diabet especi import
117,288059,0,jesslynbry thank well let appropri author know meantim tri call center
118,288059,64,cdcemerg flu shot protect amp other incl babi amp young kid older adult amp ppl w certain health condit
119,288059,253,cdcgov time get flu shot today
120,288059,0,djzimmi sorri cannot help account verifi directli twitter
121,288059,46,mktplaceab question open enrol cm next offic hour tomorrow
122,288059,0,tonypvrvi terribl sorri hear pleas tri consid local help
123,288059,4,hhsprevent check niddkgov diabet prevent resourc profession diabetesmonth
124,288059,66,myplat shop w littl one tough let kid play groceri store bingo shop myplatem
125,288059,13,mktplaceab cm new referr servic help demand connect consum realtim
126,288059,24,womenshealth women w diabet higher risk heart diseas blind amp depress diabetesmonth w
127,288059,12,hhsprevent use dietaryguidelin resourc talk patient healthi eat pattern di
128,288059,8,niddkgov regular physicalact may help prevent delay seriou health problem like t2d heartdiseas amp
129,288059,0,bruce35dc thank head bruce may take day variou platform sync le
130,288059,55,hhsgov 7000 lungcanc death occur year among adult nonsmok us secondhand smoke via fdatobac
131,288059,215,set alarm 2018 health coverag one deadlin year dec15
132,288059,86,nation diabetesmonth stay activ eat healthi get rest prevent diabet coverage2car
133,288059,53,usfda lung cancer 1 caus cancer death us stay smokefre help prevent lung cancer via fdatobacco lcam17
134,288059,25,niddkgov novemb nationaldiabetesmonth listen healthymo tip lower type 2 diabet risk
135,288059,51,samhsagov stress lead kid turn alcohol nationalstressawarenessday talk kid underag
136,288059,18,samhsagov dyk lower stress worri use exercis amp relax techniqu nationalstressawar
137,288059,293,open busi dec 15 know wednesdaywisdom
138,288059,13,thehearttruth everi 40 second someon unit state heart attack read via cdcgov
139,288059,60,womenshealth 1 4 peopl diabet know one diabetesmonth
140,288059,1695,open enrol start today nov 1 run dec 15 wednesdaywisdom
141,288059,15,fitnessgov may soon overload w halloween treat here tip help amp famili healthier halloween
142,288059,87,hour away start open enrol 2018 coverag readi get cover dec15
143,288059,152,cdcgov healthi doesnt scari check cdc 7 way safe healthi halloween
144,288059,7,healthfind parent start take care child teeth first tooth follow brush tip
145,288059,21,cdcgov help us celebr end breast cancer awar month share breastcanc journey brin
146,288059,9,happi halloween
147,288059,21,cdcchronic halloween bag may fill w candi rememb keep ad sugar less 10 daili calori
148,288059,24,cdctobaccofre mani year smoke suzi suffer stroke worldstrokeday
149,288059,38,massdph tomorrow night halloween trickortreat safetyfirst
150,288059,163,open enrol begin two day get head start amp brows 2018 plan amp price see store
151,288059,18,niddkgov nation diabetesmonth start wed 4 step manag diabet life
152,288059,137,cdcgov kid alway see differ medicin candi keep kid safe amp store medsupaway ht
153,288059,4,hhshealth fitnessgov trick help w halloween treat learn healthier halloween
154,288059,1,isongei open enrol 2017 consum still need 2017 coverag open enrol 2018 begin two day
155,288059,1,isongei open enrol 2018 doesnt start nov1 two day away
156,288059,129,cdcflu dont let flu ruin halloween fun get flu shot
157,288059,36,cmsgovpress cm launch window shop consum check 2018 planspric exchang open enrol
158,288059,136,cdcgov 80 stroke prevent prevent stroke commun tool cdc worldstro
159,288059,7,medlineplu check medicin cabinet find safe place get rid old prescript drug saturday 1028
160,288059,41,time updat info amp see choic avail 2018 open enrol begin soon
161,288059,25,fdatobacco addict smoke even cigarett lead symptom nicotin addict teen
162,288059,176,cdcflu flufactfriday take 2wk get flu shot protect antibodi develop get flu shot today figh
163,288059,22,minorityhealth omh award 5m help disadvantag popul impact opioid childhood obes amp mental ill
164,288059,73,cdcchronic 1 7 stroke occur peopl age 15 49 stroke prevent worldstrokeday
165,288059,43,open enrol come soon brows 2018 plan amp price see store nov 1
166,288059,5,thursdaythought
167,288059,8,teenhealthgov 3 4 teen smoker becom adult smoker via fdatobacco redribbonweek
168,288059,6,hhsregion9 find local breastcanc amp cervicalcanc earli detect program screen breastcanc
169,288059,46,usfda learn safe dispos unus expir drug drugtakeback
170,288059,6,hhsregion9 find toss old amp unwant prescript drug natl rx drugtakeback day saturday
171,288059,65,open enrol one week readi see need know wednesdaywisdom
172,288059,12,fdawomen stupid question come medic safeti talk healthcar provid med
173,288059,0,tweevalleyhigh hi kristina would need contact in provid make sure
174,288059,17,healthfind mammogram help find breastcanc earli use handi list question ask doctor mammogram
175,288059,105,cdcgov 2 3 cancer associ overweight amp obes occur adult age 5074 vitalsign
176,288059,11,look local assist help enrol medicaidchip find inform state
