Index,followers,rt,text
0,269656,1,follow cdcflu vaccinefind tip prevent season flu nivw ff
1,269656,3,adult need flu shot everi year get shot protect health nivw
2,269656,1,forget child flu shot learn late kidshealth nivw
3,269656,2,pregnant women children age 5 high risk flu complic find flu risk
4,269656,7,parent protect children flu tip cdcflu nivw
5,269656,3,age 50 75 use new interact tool decid colorectalcanc test prefer
6,269656,3,late plan take week challeng nivw healthfind
7,269656,0,age 65 older get tip prevent flu cdcflu nivw
8,269656,74,cdcflu wonder get sick flu stay home avoid contact other take antivir drug prescrib
9,269656,4,dyk flu season last late may still time get shot nivw
10,269656,3,new check tool help decid best colorectalcanc screen test
11,269656,4,alreadi got flu shot find way protect famili flu nivw
12,269656,12,readi week challeng share nivw healthfind
13,269656,11,late get flu shot make plan get shot today
14,269656,8,nation influenza vaccin week follow along tip help prevent season flu nivw
15,269656,3,follow hivgov talkhiv tip prevent hiv wad2017 ff
16,269656,1,pregnant hiv get tip womenshealth protect babi
17,269656,1,question hiv test take list next visit help talk doctor
18,269656,0,use tool cdchivaid find free hiv test site near
19,269656,1,sure need hiv test check hivgov reason get test
20,269656,1,lot protect hiv take step
21,269656,4,late plan take week challeng wad2017 healthfind
22,269656,1,high risk hiv medicin call prep help protect learn hivgov
23,269656,2,stay silent hiv talk partner get test
24,269656,2,condom help lower risk get hiv get tip deptvetaffair use condom correctli
25,269656,37,cdchivaid cdc recommend consid prep hivneg high risk starttalkinghiv
26,269656,3,way know hiv get test find place get test
27,269656,5,readi week challeng share wad2017 healthfind
28,269656,5,world aid day come friday check toolkit way get involv wad2017
29,269656,1,week share inform hiv test prevent join us
30,269656,4,follow cdctobaccofre fdatobacco smokefreeu tip help quit smoke prevent lung cancer lcam17 ff
31,269656,4,readi quitsmok get help cdctobaccofre lcam17
32,269656,3,rememb quit urg smoke fade time get tip manag crave lcam17
33,269656,1,hope happi healthi thanksgiv
34,269656,1,late plan take week challeng lcam17 healthfind
35,269656,1,use free app smokefreeu help stay smoke free lcam17
36,269656,4,want quit smoke chang routin break old habit help lcam17
37,269656,1,alon talk doctor medicin help quitsmok lcam17
38,269656,14,fdatobacco design modern cigarett may reason smoker today like get lung cancer 50 year ago
39,269656,11,concern lungcanc risk ask doctor question find need screen lcam17
40,269656,1,readi week challeng share lcam17 healthfind
41,269656,5,peopl get lungcanc get smoke smoke make plan quit lcam17
42,269656,7,lungcanc awar month share tip help peopl quit smoke prevent lung cancer follow along lcam17
43,269656,0,follow alzheimersnih caregiveract caregiver nlm4caregiv get tip caregiv nfcmonth ff
44,269656,2,learn handson caregiv skill caregiver help care love one nfcmonth
45,269656,2,use tip support love one doctor visit nfcmonth
46,269656,2,caregiv stress learn caregiv stress manag womenshealth nfcmonth
47,269656,2,care someon alzheim get tip alzheimersnih take care nfcmonth
48,269656,3,caregiv alon find get support need nfcmonth
49,269656,3,late plan take week challeng nfcmonth healthfind
50,269656,1,use 10 tip caregiveract care love one nfcmonth
51,269656,3,caregiv make time mental health get tip manag emot stress nfcmonth
