Index,followers,rt,text
0,480704,15,grow team 2018 join sba expensifi zenefit webinar scale busi rem
1,480704,24,sba microloan program turn 25 check statist support small dollar loan make big differenc
2,480704,51,feedback import sba interest learn need current aspir small busin
3,480704,23,sbalinda check new technolog sbagov use better serv smallbusi make agenc effici
4,480704,35,sbalinda honor share sbagov achiev updat sbaignitetour potu cabinet today meet th
5,480704,40,7 type advertis fit within smallbiz budget
6,480704,9,foreignpressctr mani thank sbagov offic entrepreneuri develop offic women busi ownership great br
7,480704,35,join sba staysafeonlin webinar decemb 12 keep busi safe secur onlin rsvp
8,480704,11,sba assist see tina corso turn homebas busi largest produc decor
9,480704,46,decemb nation write busi plan month get start sba
10,480704,39,sba next winner submit nomin nation small busi week award
11,480704,74,sbalinda capitol hill senatemajldr discuss urgent need taxreform small busi tell want tax
12,480704,32,econatst women entrepreneur break record amp glass ceil report women make 40 new entrepreneur
13,480704,95,econatst 113m womenown busi us gener 16t revenu amp employ 9m peopl power
14,480704,59,sbalinda icymi interview morn varneyco taxreform relat smallbusi
15,480704,51,think start busi sba help
16,480704,367,scavino45 potu realdonaldtrump speak w sbalinda mcmahon sec ustreasuri stevenmnuchin1 amp member hous represen
17,480704,466,whitehous presid trump promot american entrepreneurship
18,480704,444,whitehous presid trump give small busi boost read
19,480704,20,nation tax secur awar week tip keep smallbiz safe taxsecur
20,480704,427,whitehous today alway main street heart economi soul commun birthpl
21,480704,22,7 type advertis cost arm leg wednesdaywisdom
22,480704,26,question sba nation small busi week award consult faq
23,480704,33,sbalinda speak directli small busi owner sbaignitetour entrepreneur smallbusinessroundt ht
24,480704,20,sbalinda next stop seabagsmain local smallbiz produc bag product old sail sbaignitetour entrepren
25,480704,19,learn sbaguarante loan
26,480704,17,sbalinda back road sbaignitetour start today stop wonder main district offic staff sba sbanew
27,480704,380,sbalinda great see main street shop celebr smallbusinesssaturday photo histor downtown frederick
28,480704,21,asbdc today day consid shop local smallbusi shop small support commun shopsmal
29,480704,80,statedept smallbusinesssaturday find statedept work support us busi oversea discov econatst resou
30,480704,526,scavino45 american dream back go creat environ smallbiz like mani decad presi
31,480704,399,whitehous happi smallbusinesssaturday sbalinda explain holiday shop help neighborhood entrepreneur
32,480704,373,nasa smallbusinesssaturday alway look integr small busi work pioneer futur
33,480704,55,small busi creat 2 everi 3 net new job privat sector support america job creator
34,480704,10,awbcusa support womenown busi smallbusinesssaturday shopsmal
35,480704,10,usmbda today small busi saturday day celebr support small busi commun
36,480704,31,ftc happi small busi saturday tip hire manag employe shopsmal smallbiz
37,480704,42,sbalinda small busi saturday full swing check local small busi celebr support local communi
38,480704,9,irsnew reconstruct disast busi may get refund tax paid prior ir return
39,480704,40,sbalinda shopsmal holiday shop year ive opt skip crowd depart store head
40,480704,431,nasa know nasaorion spacecraft effort 800 small busi locat across 47 state involv
41,480704,14,uscensusbureau dyk 146780 familyown retail trade firm paid employe 2015 sure visit one busin
42,480704,26,sbalinda speak love owner splurg sonia sotir malloy way local smallbiz give back lo
43,480704,94,know half workforc either own work small busi shopsmal
44,480704,26,sbalinda simpl sono boutiqu store casual eleg cloth touch luxuri southern california life
45,480704,35,sbalinda look close might abl see im shop small busi saturday shopsmal
46,480704,401,nasa smallbusinesssaturday 800 small busi locat across 43 state contribut n
47,480704,32,sbalinda next stop tast holland cant wait tri treat shopsmal know 97 ct busi small busin
48,480704,50,sbalinda made first purchas famili own oper pellegrini jewel pleasur meet owner larri caro
49,480704,19,commercegov support small busi small busi saturday shopsmal
50,480704,49,customsbord wish small busi owner employe support small busi everi day happi smallbusinesssa
51,480704,16,nwbc today smallbusinesssaturday celebr contribut small busi commun shopsmal learn
52,480704,6,usmbda help give thank american small busi shop small nov 25th smallbizsat shopsmal
53,480704,22,hudgov today small busi saturday shopsmal support local busi owner find small busi near
54,480704,22,uscensusbureau small mediums us compani lt500 employe account nearli 33 known export valu 2015
55,480704,10,usgsa smallbiz interest busi w feder govtgsaosbu help smallbiz
56,480704,8,irsnew focus keep busi track check ir webinar tool amp educ product sm
57,480704,9,eximbanku ur local smallbiz need ur support much need join us amp sbagov shopsmal map americanexpress
58,480704,319,nasa happi smallbusinesssaturday know 1600 small busi support work mission
59,480704,131,statedept smallbusinesssaturday want highlight way small busi make impact around world
60,480704,7,irsnew grow busi ir remind hire 10 type worker could result tax credit
61,480704,294,nasaosbp smallbusinesssaturday across countri nasa celebr along show us small busi pride
62,480704,347,sbalinda happi small busi saturday treasur find local commun today find holid
63,480704,450,usdol today smallbizsat great time visit favorit small busi shopsmal
64,480704,5,usaid shopsmal day everi day usaid work small entrepreneur across america grow big idea read
