Index,followers,rt,text
0,1521119,30,iberiabank agre pay 116 million resolv alleg fals claim act liabil submit fals clai
1,1521119,40,louisiana resid indict stolen id refund fraud scheme
2,1521119,41,joint declar unit state colombian mexican attorney gener
3,1521119,50,utah busi owner sentenc four year prison illeg deal firearm file fraudul tax retu
4,1521119,36,deputi attorney gener rod rosenstein select corey elli director asset forfeitur account
5,1521119,86,former north charleston south carolina polic offic michael slager sentenc 20 year prison feder
6,1521119,166,fugit lawyer face 12 year sentenc 550 million social secur fraud scheme captur arraign mult
7,1521119,166,attorney gener jeff session announc jame crowel iv act director execut offic us
8,1521119,145,usaodc us seek forfeitur total seven antiqu believ stolen isi includ gold brooch
9,1521119,78,usaodc us seek warrant seiz ancient ring traffick isi part broader effort locat stolen antiqu
10,1521119,151,attorney gener session issu memo outlin principl ensur adjud immigr case ser
11,1521119,130,jose inez garciazar face feder firearm charg northern district california
12,1521119,135,former procur offic feder fund nuclear research develop facil plead guilti wire frau
13,1521119,16,justiceatr doj antitrust divis attend organ econom cooper develop oecd meet
14,1521119,23,justic depart epa reach agreement husqvarna resolv product line test report violat
15,1521119,26,deputi attorney gener rod rosenstein deliv open remark 2017 crimin divis award ceremoni
16,1521119,46,justic depart atfhq begin regulatori process determin whether bump stock prohibit
17,1521119,106,owner michigan home health agenc convict 16 million healthcar fraud scheme
18,1521119,92,texa resid plead guilti provid materi support isi
19,1521119,46,attorney gener session deliv remark world bank global forum asset recoveri
20,1521119,191,former us congresswoman corrin brown two other sentenc prison fraud scheme involv bogu nonpro
21,1521119,82,owner new york tax prepar firm plead guilti prepar fraudul tax return
22,1521119,48,saipan restaur distribut 40000 back pay us worker justic depart settlement
23,1521119,101,dallasbas physicianown hospit pay 75 million settl alleg pay kickback physician
24,1521119,21,justic depart acknowledg world aid day 2017
25,1521119,56,justic depart seek shut florida tax return prepar
26,1521119,79,maryland man plead guilti will retent nation defens inform
27,1521119,110,virginia man sentenc 15 year prison sex traffick 15yearold girl
28,1521119,40,read associ attorney gener rachel brand trip ottawa canada trilater summit violenc
29,1521119,322,attorney gener jeff session statement kate steinl verdict
30,1521119,82,former bank execut charg role 15 million bank loan scheme
31,1521119,162,immigr attorney plead guilti fraud scheme ident theft relat visa applic
32,1521119,45,former polic offic plead guilti exploit author sexual assault individu
33,1521119,100,russian cybercrimin sentenc 14 year prison role organ cybercrim ring respons 50 mi
34,1521119,125,former feder agent plead guilti accept bribe dismiss indict colombian narcot kingpin
35,1521119,53,two real estat investor sentenc rig bid northern california public foreclosur auction
36,1521119,56,sbm offshor nv unit statesbas subsidiari resolv foreign corrupt practic act case involv bribe
37,1521119,70,eight membersassoci cowboy gang south carolina sentenc rico conspiraci violent crime aid
38,1521119,47,attorney gener session act deahq administr patterson announc new tool address opioidcrisi
39,1521119,61,deahq break dea establish 1st new divis nearli 20 yr louisvil kentucki divis synchron effort w law
40,1521119,79,copsoffic press releas attorney gener session announc 12 million support law enforc agenc combat illeg
41,1521119,53,attorney gener jeff session announc new tool combat opioidcrisi
42,1521119,36,deputi attorney gener rosenstein deliv remark 34th intern confer foreign corrupt pra
43,1521119,91,former employe us govern contractor afghanistan sentenc prison accept 250000 kickback
44,1521119,47,us extradit former salvadoran militari offic spain face charg particip 1989 jesuit massacr
45,1521119,60,1130am today attorney gener session amp act deahq administr patterson hold press confer announc
46,1521119,80,ahm abu khatallah found guilti terror charg septemb 2012 attack benghazi libya
47,1521119,24,usaoor juri deliv guilti verdict bank oswego fraud trial
48,1521119,54,justic depart sue springfield illinoi discrimin person disabl
49,1521119,38,justic depart sue stop miamidad counti tax return prepar allegedli engag fabric deduct
50,1521119,79,alabama man plead guilti produc child pornographi
