Index,followers,rt,text
0,181470,1,miss cdcfoodchat day revisit hashtag tip foodsafeti visit webpag l
1,181470,11,fdafood ifsac scientist publish updat categori food implic foodborn diseas outbreak via foodborn pathogen
2,181470,14,fdarecal aldi voluntarili recal choceur dark chocol bar due undeclar nut allergen product could contain almond piec
3,181470,15,sgottliebfda fda new predict toxicolog roadmap novel method toxic test help us move safe product mark
4,181470,26,sgottliebfda fda public workshop begin today advanc use patient prefer inform scientif evid medic pr
5,181470,15,sgottliebfda today fda report drug postmarket studi backlog way postmarket requir pmr post
6,181470,39,sgottliebfda fda must encourag develop tool help peopl inform health know regula
7,181470,24,follow 7 tip beat winter cold amp flu
8,181470,8,fdamedia remark sgottliebfda prepar oral testimoni us senat help committe 21st centuri cure act htt
9,181470,10,fdamedia sgottliebfda testifi senat help committe implement 21st centuri cure act live 10 est
10,181470,33,consum amp health care provid embrac digit health technolog fda must encourag develop
11,181470,17,sgottliebfda look forward address senat help committe today talk implement 21st centuri cure act
12,181470,23,sgottliebfda new fda approach develop drug pediatr rare diseas streamlin clinic studi reduc patient
13,181470,26,toxicolog test play pivot role ensur safeti fdaregul product fda new predict toxi
14,181470,12,pet owner amp veterinari profession care osurnia claro splash eye administ
15,181470,8,phegov barda cdcgov amp partner work togeth protect health amp save live 201415 ebola crisi l
16,181470,5,fdawomen inform treat depress heart health tip free public help stay healthi win
17,181470,11,fda anim drug safeti commun fda warn eye injuri report use certain ear medic fo
18,181470,10,fdaora fdaora issu warninglett idaho drug manufactur violat regul manufactur compound drug pr
19,181470,29,work w ema fda draft approach pediatr rare diseas drug dev could elimin need certai
20,181470,6,fdadruginfo ashp17 question gener stop exhibit 1051 pick materi learn
21,181470,8,fdafood fish foodsafeti got question answer fdafood amp epa advic prepar amp eat fish
22,181470,11,fdaora fda special agentsthejusticedept paramed sentenc steal fentanyl ambul compani
23,181470,78,sgottliebfda studi find fda expedit review breakthrough design lead effici review drug wfda exp
24,181470,25,fda voic blog expand commun lead step forward peopl type 1 diabet
25,181470,30,sgottliebfda last week issu report confirm substandard counterfeit drug global problem affect countri amp
26,181470,22,fdaomh nation influenza vaccin week gotten flu vaccin visit info nivw
27,181470,72,public health alert fda continu receiv amp investig report potenti lifethreaten advers event
28,181470,43,sgottliebfda fda report 26 full firstcycl gener drug approv 87 approv issu octob time record high
29,181470,22,fda commission sgottliebfda sit pharmapinksheet nielsen hobb talk opportun fda
30,181470,13,kroger compani recal comfort babi purifi water fluorid w sell date 4262018 10102018
31,181470,26,3d print medic devic amp medic quickli becom promis realiti work provid
32,181470,36,fdafood dont ruin nationalcookieday eat raw cooki dough make sick
33,181470,36,fdadruginfo fdaapprov new biosimilar treatment certain breast stomach cancer
34,181470,84,sgottliebfda everyon seek treatment opioid addict deserv access treatment best suit individu need
35,181470,28,fda approv tent approv 200th antiretrovir presid emerg plan aid rel
36,181470,8,fdafood fda commission scott gottlieb md send state agricultur leader letter reinforc agenc commit work
37,181470,9,depsechargan worldaidsday great meet usfda expert whose effort help pepfar respond aid relief world
38,181470,15,depsechargan usfda advis late get flu shot usfda abl visit lab work
39,181470,11,depsechargan visit lab usfda work research abus deterr opioid best combat
40,181470,7,depsechargan join sgottliebfda morn usfda hq hear updat go fda learn
41,181470,19,depsechargan take deep interest fda continu work close sgottliebfda usfda work toget
42,181470,37,fdadruginfo fdaapprov new medicationassist treatment option opioid use disord
