Index,followers,rt,text
0,886292,13,15 mobil airmen train advis latin american expeditionari forc support un peacekeep mission
1,886292,9,dodfinr br checklist step 5 5 make decis retir system right blendedretir
2,886292,29,followfriday check 22arw home first activeduti led main oper base new boe kc4
3,886292,8,dodfinr br checklist step 4 5 yet schedul appoint consult instal person financia
4,886292,147,day airforc histori
5,886292,59,whether home station deploy train prioriti airmen eod
6,886292,64,rpa fli 44k hour amp employ 20 coalit strike effort liber raqqah syria isi
7,886292,21,behind mask usafreserv airman use collect explain love serv africa
8,886292,95,illinoi air nation guard sole airrefuel wing earn eighth usaf outstand unit award
9,886292,38,joint space forc realign afspac command becom joint forc space compon command
10,886292,11,dodfinr br checklist step 3 5 educ use blendedretir calcul analyz estim benefit
11,886292,6124,deptofdefens date 76 year ago japan surpris world sneak attack pearlharbor rememb hero th
12,886292,105,day airforc histori
13,886292,44,deploy airman break barrier whole new way teach arab 379aew airmen
14,886292,35,secafoffici amp gendavegoldfein direct review usaf program
15,886292,29,know airman whose innov idea help improv effici oper readi across airforc subm
16,886292,21,secafoffici anyth separ space joint fight move us wrong direct
17,886292,115,may magic school buse world good young student haiti travis60amw
18,886292,29,airmen particip nation grid exercis simul respons cyber amp secur threat
19,886292,49,success complet transit enlist aircraft maintain pilot airman took h
20,886292,97,deptofdefens ye usairforc airmen particip combat warrior challeng avianoairbas itali
21,886292,98,day airforc histori
22,886292,98,might hard believ fli faster save fuel true read pilot put f22
23,886292,29,ti season give feel joy airman gift last famili lifetim
24,886292,73,icymi 386th aew celebr 75 year histori
25,886292,28,airmen help meet demand pilot train mission columbusafb
26,886292,19,nellisafb also f22 success isi syria easili give best strength schedul
27,886292,32,atmospher river hurricanehunt find
28,886292,45,cmsaf need airman take activ interest financi plan amp use everi resourc avail learn
29,886292,14,dodfinr br checklist step 2 5 take mandatori blendedretir optin cours either way go make sure
30,886292,167,day airforc histori
31,886292,60,icymi afghan air forc graduat first six uh60 black hawk pilot
32,886292,42,citizenairman use person struggl suicid encourag other seek help usafhealth
33,886292,42,dyk usaf program allow space oper work scholast expert research enviro
34,886292,57,usaf amp afghan air forc special tactic work togeth gain oper advantag
35,886292,71,96 airmen receiv illustri mackay trophi outstand result amp combat c
36,886292,11,dodfinr br checklist step 1 5 determin elig elig blendedretir militar
37,886292,124,hqusafepa quick look back 2017 usafeafafrica happi holiday useucom usafricacommand usairforc usnato alli
38,886292,55,afspac proud serv new joint forc space compon command gen jay raymond jfscc integr space oper
39,886292,233,day airforc histori
40,886292,51,dyk uniqu program doverafb uniqu one kind deptofdefens fin
41,886292,45,thankyou courag share stori greg militaryhealth
42,886292,30,gendavegoldfein thank reagandefens opportun part rndf panel 3 spoke import bud
43,886292,35,secafoffici import convers today space warfight domain rndf
44,886292,189,foxnew secafoffici low readi need restor readi forc win fight jengriff
45,886292,177,day airforc histori
46,886292,39,clear see receiv toplevel recognit
47,886292,92,veteransinblu becom countri music singer ryan daniel munit nco usaf
48,886292,155,day airforc histori
49,886292,90,find one uniqu airman chang game reaper train scenario
50,886292,32,icymi aroundtheairforc
51,886292,26,followfriday check cannonafbnew western home america air commando
52,886292,107,pacaf eielsonafbaklend ici runway f35 test thef35 winter
53,886292,39,gendavegoldfein special tactic airmen conduct multipl airfield survey w afghan air forc counterpart faryab provinc
54,886292,168,happybirthday total forc partner civilairpatrol
55,886292,153,day airforc histori
56,886292,54,usafricacommand senior enlist leader join fellow combat command enlist leader discuss oper nco
57,886292,104,team edwardsafb teamwork display multiservic flight test known orang flag
58,886292,78,tbt find coldwar spark evolut america power nuclear deterr edit
59,886292,31,eielsonafbak dirt boyz usual clear ice runway year get creat f35a
60,886292,21,think optingin blendedretirementsystem countdown begun
61,886292,25,97amw pilot bring commit camaraderi usaf cycl wind
62,886292,28,pacaf andersenafbguam keep o2 flow one two usairforc base capabl produc liquid oxygen scienc readin
63,886292,143,day airforc histori
64,886292,79,old jet break new barrier one teammisawa famou flightlin asset hit new mileston
65,886292,42,shop cloth peopl settl good enough fit aircrewflightequip help airmen find th
66,886292,216,b1 bomber train royal australian air forc lightn focu australia
67,886292,35,firehous schoolhous one afacademi airman use first respond mental train futur usaf
68,886292,55,teamtyndal select futur home mq9 reaper wing host 24 rpa
69,886292,55,power outag prep complic best condit see space system airmen get done 50 bel
70,886292,44,gendavegoldfein dr rachel abraham innov ultrahighstrength steel munit reduc cost gt50 innov afr
71,886292,188,day airforc histori
72,886292,64,joint intern partner wrapup exercis doubleeagl usaf usarmi
73,886292,38,15 airmen c17globemast iii aircraft humanitarian mission find
74,886292,31,wyoguard airmen faith support statesid intern mission provid aid call upon
75,886292,24,ohnationalguard red hors airmen use demolit train war peac time mission
76,886292,31,airforc implement chang improv law enforc databas report amp sever correct measur
77,886292,40,furri servic member joint base langleyeusti help defend ensur safeti airmen civilian
78,886292,109,20fighterw wild weasel train next fight
79,886292,316,airmanmagazin usairforc b52 bomber recent struck taliban homemad explos product facil helmand provinc
80,886292,123,day airforc histori
81,886292,108,usaf bomber train raaf strengthen tie alli nation pacaf
82,886292,125,extra extra read 300 airmen 12 f35 deploy japan support theater securit
83,886292,30,face defens airman keep civil engin unit afghanistan task
84,886292,27,airforc senior leader announc continu pay rate
85,886292,110,airmobilitycmd father son reunit train littl rock air forc base airmen colonel airman armentrout
86,886292,62,sudden death quadrupl heart bypass surgeri col boudreaux surviv continu thrive read stori
87,886292,102,wrap 200 airmen amp 7 f16 return avianoairbas 2week exercis isra air base
88,886292,230,deptofdefens ear grand master jedi member usairforc wound warrior program sit servic dog
89,886292,181,day airforc histori
90,886292,82,fire doesnt burn accord schedul that train situat time day
91,886292,55,afacademi student tennesse rhode scholar attend uniofoxford
92,886292,62,patrickafb airman give thank father wwii veteran honor congression gold medal h
93,886292,150,day airforc histori
94,886292,170,strike taliban opium facil among first major use new bomb author afghanistan
95,886292,84,veteransinblu ret col kathi cosand 1 9 femal offic first graduat air forc undergradua
96,886292,134,day airforc histori
97,886292,55,senior airman selina n okyer one goal life teach nation ghana basic lifesav skill
98,886292,60,week followfriday good friend travis60amw check recent assist usnavi
99,886292,119,day airforc histori
100,886292,264,time unplug spend time famili friend share holiday craft photo well wish ov
101,886292,196,day airforc histori
102,886292,58,moral stori one better prepar win foreign soil unit state airforc
103,886292,27,face defens talent airforc nco sent spain mission support liaison
104,886292,176,someon call uber captionthi airforc photo
105,886292,29,dyk flatrat per diem norm tdi longer 30 day get complet polici detail
106,886292,470,deptofdefens parachut salut member usafwingsofblu parachut demonstr team jump aircraft nellisafb ne
107,886292,612,day airforc histori
108,886292,46,teammisawa airmen host japan ground selfdefens forc servic member
109,886292,77,moral stori one better prepar win foreign soil unit state airforc
110,886292,290,learn x37b orbit test vehicl goe orbit amp featur help unman space platform bold
111,886292,31,high school academ team mentor afresearchlab scientist earn gold medal 2017 intern genet
112,886292,31,airmen demonstr airnationalguard dual mission downrang
113,886292,1165,great sad announc pass one injuri anoth airman plane
114,886292,33,icymi secafoffici logist airmen fail logist bring mighti
115,886292,197,airmobilitycmd aircraft two c17 c5 deliv usnavi undersea rescu capabl argentina
116,886292,123,teameglin 96th test wing fight falcon head test sorti motiv mondaymotiv 96 tw perform
117,886292,151,mess one us mess us oneteamonefight
118,886292,12,macdillafb teammacdil proudtobeamc salut sra manz
119,886292,188,pacaf brrrrr take look cool pictur recent trip mcmurdo antarctica airforc nsf pacificcommand
120,886292,150,day airforc histori
121,886292,37,defi odd airman focus journey
122,886292,158,day airforc histori
123,886292,85,veteransinblu young airman 1983 cmsgt ret brown work presidenti airlift group
124,886292,245,day airforc histori
125,886292,6,afcar offer followon option airmen take short tour program
126,886292,39,week followfriday hafb follow hill airforc base support air expeditionari forc oper
127,886292,42,that high prais one best coach histori nfl patriot
128,886292,32,usaf men women basketbal team overcom advers finish top three 2017 armedforcesbasketbal tour
129,886292,118,air amp sea join forc conduct interoper train western pacif usnavi
130,886292,48,flashbackfriday
131,886292,18,go airshow watch afthunderbird instead work honeydo list flybywirefight notsohumblebrag
132,886292,17,plane train automobil longer heavi weak advancedcomposit tootingourhorn
133,886292,17,watch sister wed video much fun footag done fli camera drone alsotheairforc
134,886292,19,middl seat redey still better spend 20 hour car annoy littl brother
135,886292,60,longer need master map folder gp thankanairman
136,886292,276,patriot highfli surpris usairforc wing blue
137,886292,182,gendavegoldfein lanc p sijan believ freedom amp fellow airmen live code conduct last breath amp left lega
138,886292,89,day airforc histori
139,886292,83,dyk afthunderbird demo team see usaf f22raptor demo team showcas airpow
140,886292,462,feel needforspe usaf f22
141,886292,38,icymi edit aroundtheairforc highlight sotaf hous arm servic readi subcommitte
142,886292,39,airman recount feel fear anger abandon share stori famili servic wake
143,886292,28,nbcsboston patriot awe usairforc stori surviv train mikegiardi
144,886292,83,happen usaf team appl find
145,886292,47,travel jberoffici airmen journey histori w tuskegeeairman ssgt lesli edward
146,886292,130,usafc last day dubaiairshow what favorit part 45 minut aerial demonstratio
147,886292,369,deptofdefens may often think take keep aircraft go airmen sure watch keep travis6
148,886292,97,patriot patriot wrap first day practic afacademi look ahead raider
149,886292,34,secafoffici valu driven mission focus peopl orient everi day usaf continu keeper sa
150,886292,142,day airforc histori
151,886292,43,shawafb gambler head downrang use combat capabl support operationfreedomsentinel
152,886292,28,prepar emerg idahoairnationalguard airmen
153,886292,32,teammisawa correct f35a
154,886292,161,icymi first japanesemad f35b land teammisawa
155,886292,60,air mobil airmen continu aroundtheclock support caribbean
156,886292,24,wyoguard airman demonstr servicebeforeself serv other duti
157,886292,23,usafc heidi h grant deputi secretari air forc intern affair speak f22 pilot dubaiai
158,886292,77,airmanmagazin f15e strike eagl 492nd fighter squadron take royal air forc lakenheath england nov 6 4
159,886292,369,day airforc histori
160,886292,173,ever seen 48thfighterw fli squadron fill sky
161,886292,50,dualstatu airmen serv air reserv technician never stop support usaf mission
162,886292,41,deploy airmen find way increas war fight capabl amp stay mental fit fight
163,886292,44,vonmil swap jersey player time uniform swap need makeithappen
164,886292,40,start bast turkey amp deck hall take minut think safeti safetyfirst
165,886292,30,icymi gendavegoldfein secafoffici discuss budget sotaf
166,886292,26,gendavegoldfein icymi vcsaf wilson recent showcas militarytomilitari partnership dubai intern air chief conf
167,886292,66,laraseligman dod corral flight line das17 usnavi mh60 knighthawk usairforc f15e strike eagl f
168,886292,43,usafc readi day three dubaiairshow das17
169,886292,124,day airforc histori
170,886292,53,airmen gain new friendship experi w german air forc counterpart exercis blue flag 2017
171,886292,56,checker flag wave teamtyndal airmen gather showcas capabl amp warfight pow
172,886292,24,moral greater moral transport airmen hqusafepa deliv
173,886292,35,airman help commun come togeth aid californiawildfir victim
174,886292,42,icymi gendavegoldfein honor veteran quantico nation cemeteri
175,886292,52,vcsaf gener wilson usaf buy new capabl use old way read speed lead innov
176,886292,57,fresh clean
177,886292,138,day airforc histori
178,886292,70,usafacc sponsor exercis test joint intern partnership combatsearchandrescu oper
179,886292,89,astro2fish lucki tonightalway treat see afacademi cadet serious look size flag
180,886292,45,hqusafepa congratul norway plane nato secretari gener jen stoltenberg note make atlant ocean narrow
181,886292,317,day airforc histori
182,886292,57,airmen soldier put rapid deploy capabl test joint exercis vigil shield 18
183,886292,42,hqafmc gen ellen pawlikowski serv honorari grand marshal new york citi veteran day parad paul william bucha
184,886292,118,veteransinblu lt col toni bevacqua spent major servic fli u2 dragon ladi amp sr71 blackbir
185,886292,61,gendavegoldfein honor spoken war hero legendari aviat amp airforc veteran col eugen deatrick today veteran
186,886292,331,gendavegoldfein thank answer call servic throughout nation histori thank uniform
187,886292,164,secafoffici today honor 22 million american veteran includ 4 million usaf veteran join thank vet
188,886292,2418,deptofdefens salut veteran past amp present serv great nation thank servic amp protect fr
189,886292,99,day airforc histori
190,886292,59,meet airmen peteafb defend space
191,886292,1382,deptofdefens happi 242nd birthday usmc thank protect freedom anoth slice pt tomorrow semper
192,886292,223,rememb amp honor came us veteransday honorthem
193,886292,88,day airforc histori
194,886292,112,usaf pit stop provid life blood aircraft keep fight
195,886292,41,militarybroth share bond goe beyond call duti airmen soldier
196,886292,65,secafoffici intern review find happen kelley case amp look
197,886292,22,secafoffici respons explain author trust congress make dec
198,886292,24,gendavegoldfein count continu bomber presenc pacif continu deter defend mission sotaf
199,886292,33,gendavegoldfein keep night move past sequest current form go break forc sotaf
200,886292,13,15 mobil airmen train advis latin american expeditionari forc support un peacekeep mission
201,886292,9,dodfinr br checklist step 5 5 make decis retir system right blendedretir
202,886292,29,followfriday check 22arw home first activeduti led main oper base new boe kc4
203,886292,8,dodfinr br checklist step 4 5 yet schedul appoint consult instal person financia
204,886292,147,day airforc histori
205,886292,59,whether home station deploy train prioriti airmen eod
206,886292,64,rpa fli 44k hour amp employ 20 coalit strike effort liber raqqah syria isi
207,886292,21,behind mask usafreserv airman use collect explain love serv africa
208,886292,95,illinoi air nation guard sole airrefuel wing earn eighth usaf outstand unit award
209,886292,38,joint space forc realign afspac command becom joint forc space compon command
