Index,followers,rt,text
0,1185603,31,secarmi week armynavygam rivalri servic intens today westpointusma pep ralli echo goar
1,1185603,33,predict score 127th armynavi game tomorrow want know think score
2,1185603,103,goarmi beatnavi
3,1185603,81,ltgrobertcaslen love armynavi game year year make histori beatnavi
4,1185603,23,1abct3id mortarmen raiderbrigad spent day sharpen skill 50 cal rang trainedandreadi rotm 3id htt
5,1185603,66,yama sakura 73 underway purpos exercis enhanc us japanes readi interoperab
6,1185603,48,usarmi usnavi swap rival friend armynavi prison exchang program member
7,1185603,87,ring steel usarmi ring steel protect oahu japanes invas horribl att
8,1185603,66,biggest incent candid everi day your go toetoto best hacker
9,1185603,0,mgdjguthri nato hooah
10,1185603,0,samy10261028 7thid thank support
11,1185603,0,federalflyboy hooah
12,1185603,0,jeknight88fan thank support servic
13,1185603,326,
14,1185603,256,pacificcommand flag present famili harri hohstadt clark simmon honor live uss utah memoria
15,1185603,1115,day honor courag sacrific pearlharbor hero honorthem pearlharbor76
16,1185603,776,sunday morn japanes fighter plane descend upon pearlharbor us naval base hawaii dama
17,1185603,85,swift water rescu west virginia usnationalguard swift water rescu team compris 50 usarmi soldi
18,1185603,68,there highend fight wait us go learn secarmi commit bui
19,1185603,124,thecaguard calguard mobil four armi helicopt two air forc c130j air tanker two refuel truck tuesday suppor
20,1185603,149,difficult dirti job sniper school one hardest school militari physic men
21,1185603,43,trailblaz gener close chapter career mentor offic state mississippi
22,1185603,45,secarmi morn spoke usarmi profess forum said armi senior leader one endur prioriti
23,1185603,56,need tech solut arriv usabl long date say usarmi cio read
24,1185603,600,deptofdefens decad later stori came 1941 pearlharbor attack remain strong remind cost freedom
25,1185603,67,danger61id happeningnow check 1st battalion 5th field artilleri regiment test m109a7 howitz artilleri system
26,1185603,30,101staasltdiv montgomeri counti recogn usarmi support transit soldier anoth exampl
27,1185603,66,armychiefstaff usarmi greatest asset peopl look forward discuss senior leader week armyprofor
28,1185603,108,call cyber profession usarmi look hire read thehil
29,1185603,12,nypdnew nypd79pct usarmi play import role disast respons effort support l
30,1185603,65,trust creat wwi first activ hq dec 6 1917 7thid celebr centenni read
31,1185603,95,inform attack emerg major concern societi worldwid say armyresearchlab chief scientist
32,1185603,3363,abc heartbreak touch moment two young brother visit father grave arlington nation cemeteri see headston
33,1185603,106,seat soldier dallasmav gave 100 wound warrior night never forget year
34,1185603,79,trust american peopl foundat profess say undersecarmi armi commun partner
35,1185603,78,didyouknow usarmi innov medic scienc usarmi research develop zika viru vaccin yield
36,1185603,92,1st secur forc assist brigad develop combat readi firstev live fire train fortben
37,1185603,586,armychiefstaff met cnorichardson talk armynavygam week goarmi beatnavi
38,1185603,181,usarmi soldier eight partner nato nation particip largest intern airborn oper conduc
39,1185603,413,climbtoglori usarmi releas 2017 armynavi uniform see field goarmi beatnavi
40,1185603,113,four uh60 black hawk crew member injur crash six 101staasltdiv soldier jump help read
41,1185603,76,school power run water air condit question ask usarmi
42,1185603,123,usnationalguard command sgt maj john f sampa select 12th command sergeant major armi nation guard welco
43,1185603,88,secarmi sand sand mre enjoy chow hardest work usarmi soldier 1stcavalrydiv
44,1185603,1544,goarmywestpoint honor soldier 10th mountain divis climbtoglori
45,1185603,68,updat usarmi field modular handgun system ahead schedul find
46,1185603,84,usarmyreserv mk19 support troop provid heavi volum accur amp continu firepow enemi usarmyreserv
47,1185603,238,armychiefstaff truli honor present soldier medal six outstand 101staasldiv soldier visit ft ca
48,1185603,136,train best usarmi soldier assign 1stcavalrydiv observ simul enemi fire decisiv
49,1185603,55,yamasakura annual bilater command post exercis involv us militari japan ground selfdef
50,1185603,200,assault compani readi fighttonight abram tank crew 1stcav2bct conduct crew qualif tabl
51,1185603,127,oper toy drop usarmi paratroop donat toy 20th annual randi oler memori oper toy drop
52,1185603,114,reli heavili oper experi usarmi test pilot help influenc shape technolog
53,1185603,102,first space soldier think synergi get proxim thing space colorado
54,1185603,83,space kit help usarmi soldier learn identifi enemi interf commun
55,1185603,140,next gener combat vehicl must effect megac chanc fight mega citi go
56,1185603,0,allhandsmag usnafootbal blueangel think think got great posthalloween costum discount
57,1185603,57,secarmi good morn ntc get usarmi soldier 1stcavalrydiv feelgoodfriday
58,1185603,189,usnationalguard got call ask could deploy within 36 hour went home told famili goodby threw gear bag
59,1185603,335,goarmi beatnavi
60,1185603,115,day night train fight usarmi soldier assign 1bct1cd guard tactic assembl area dec
61,1185603,154,welcom home usarmi soldier yesterday 300 ohnationalguard 148warrior soldier return home
62,1185603,67,thursdaythought would 250000 usarmi veteran plan open counsel center
63,1185603,59,overal perspect say armedforc alway readi fight win nation war
64,1185603,0,usacehq great link thank
65,1185603,81,last weekend usacehq soldier instal 700th gener effort restor power puertorico thank
66,1185603,76,usarmi soldier assign 18thmilitarypolic conquer obstacl brigad first senior leader p
67,1185603,81,us combat command enlist leader discuss oper terrorist nco empower
68,1185603,41,usarmi space histori signalcorp contribut meteorolog histori armyspaceweek
69,1185603,0,iammwh thedailybeast thank servic
70,1185603,0,dsarroseangel thedailybeast thank follow vianey
71,1185603,2,poeticpastri 101staasltdiv specif perform improv mh m9 includ better accuraci
72,1185603,0,abraham71738566 101staasltdiv hooah
73,1185603,280,basic train drill sergeant author figur drill sergeant come back advanc ind
74,1185603,6,usarmynorth ft sam houston caisson detach render full honor retir usarmi gen richard e cavazo
75,1185603,309,love feel brand new steel scream eagl 101staasltdiv first usarmi soldier rec
76,1185603,80,deploy unlik last 20 year stori 1stcav3bct conduct
77,1185603,52,special team meet special op panther player train usarmi john f kennedi special warfar center
78,1185603,113,30000 american troop base south korea live work eat go school answer
79,1185603,40,pediatr nutrit asses read usarmi soldier assign jtfbravo medic element partn
80,1185603,90,hire friend famili armytim amp meghannreport scoop usarmi
81,1185603,58,naticksrdec 1 7 research develop engin center usarmi rdecom
82,1185603,63,usarmi safeti occup health object fiscal year 2018 outlin four specif goal click
83,1185603,118,first line defens case attack spacebas satellit global
84,1185603,51,usarmi militari advisor train academi prepar 1st sfab combat advisor
85,1185603,71,usarmi soldier teach cameroonian arm forc i dispos safe
86,1185603,0,monsterbooii thank support
87,1185603,83,armysmdc soldier civilian oper system provid satellit commun space situat awaren
88,1185603,104,afghan forc proven mettl time greatest risk afghan govern say usarmi gen
89,1185603,78,battl cambrai rememb 100 year later first use us joint forc mark evolut warfar
90,1185603,168,here littl mondaymotiv take past stratospher cybermonday listen stori abou
91,1185603,71,thing go easi work usarmi disciplin respect ver
92,1185603,63,1bct1cd ironhors brigad test mettl ntcupdat
93,1185603,0,mrsilitski 101staasltdiv definit legendari
94,1185603,425,today jame marshal jimi hendrix would 75 year old dyk also serv usarmi 101st
95,1185603,71,armysmdc help usarmi soldier take career ultim height infin beyond
96,1185603,62,usarmi space week shine light soldier care satellit stori sandraierwin spacenewsinc
97,1185603,80,didyouknow space key compon usarmi multidomain battl capabl satellit commun p
98,1185603,126,roll fcoeteamsil leader ride wwii m16 halftrack troopthelin
99,1185603,318,deptofdefens ah64 apach take alli spirit vii 13nation train exercis grafenwoehr germani adayatt
100,1185603,255,deptofdefens jump right monday like usarmi paratroop conduct exercis serbia
101,1185603,177,usarmyreserv new hbo documentari chronicl canin fight alongsid us special oper forc downrang
102,1185603,105,usarmi soldier 28thexpeditionarycab stand format chang respons ceremoni
103,1185603,33,usacehq readi support center learn
104,1185603,72,fortriley soldier nativeamerican tribe partner togeth protect sacr site read
105,1185603,240,dont support soldier ground noth say command usarmi aviat find mo
106,1185603,91,dogfac soldier usarmi soldier climb cargo net challeng fort stewart georgia marneweek
107,1185603,88,foreign militari sale fundament tool us foreign polici learn militari sale read
108,1185603,84,armyresearchlab scientist studi thunderstorm improv battlefield mission
109,1185603,149,job think like bad guy usarmi offer 35f intellig analyst uniqu opportun
110,1185603,97,whether deploy home thanksgiv want know celebr post favorit photo
111,1185603,46,usarmyafrica must set theater longterm strateg success learn ausa2017
112,1185603,83,like chemistri armyresearchlab mit research test new method creat combat helmet
113,1185603,59,know answer usnew rank westpointusma public liber art colleg nationwid 4
114,1185603,84,specif strike northern helmand drug enterpris hit taliban hurt
115,1185603,57,armymedicin armi begin provid medic care chembio research volunt
116,1185603,159,three usarmi soldier receiv award help rescu north korean defector last week read tens
117,1185603,73,think everybodi realiz import serv peopl go everyth
118,1185603,60,cjtfoir iraqi energi polic traine particip room clear train besmaya rang complex iraq coalit dedica
119,1185603,51,heard next gener tactic unman aircraft system technolog demonstr scienc
120,1185603,301,happythanksgiv tag someon thank us armi graphic
121,1185603,104,throwbackthursday us presid first establish thanksgiv legal nation holiday
