Index,followers,rt,text
0,300450,101,coast guard command paul zukunft wrote blaze ope hill uscg cgc ope dontletthesunset
1,300450,38,coast guard establish new work telephon number us virgin island
2,300450,34,video releas coast guard partner agenc provid aid utuado puerto rico resid
3,300450,87,us coast guard hold press confer releas report investig el faro sink
4,300450,8,updat 2 coast guard hold press confer releas el faro investig report
5,300450,4,updat coast guard hold press confer releas el faro investig report
6,300450,40,us coast guard partner agenc deliv aid provid secur ponc puerto rico
7,300450,9,coast guard hold press confer releas el faro investig report
8,300450,17,coast guard honor servic medal honor recipi
9,300450,32,fl resid need help call 911 marin contact uscg vhf ch 16 sector command center info 8003423557 irma
10,300450,13,photo releas coast guard member conduct port assess port charleston
11,300450,222,admzukunft uscg readi irma wide path may delay respons helicopt peopl amp asset posit amp readi help
12,300450,176,
13,300450,46,uscgsoutheast uscg secsanjuan hurrican irma incid command post updat port open around puertorico amp usvirginisland
14,300450,269,uscgsoutheast uscg crew prestag aircraft make final check uscg aviat train center mobil prepar hurrican
15,300450,1136,uscgsoutheast uscg prestag helicopt boat peopl al sc amp ga come far alaska respond
16,300450,56,hurrican irma make land fall florida shelter place stay safe lifethreaten emerg call
17,300450,11,summari coast guard hurrican harvey respons effort
18,300450,12,coast guard captain port houstongalveston updat port condit waterway
19,300450,13,photo releas coast guard monitor return cruis ship galveston texa
20,300450,15,coast guard aircrew conduct flyover assess texa port via granicu
21,300450,50,uscgheartland cg work noaa us armi corp engin conduct survey navig aid greater housto
22,300450,27,joint inform center establish port arthur area
23,300450,25,photo releas coast guard air station houston aircrew continu search rescu oper
24,300450,7,coast guard captur imag daili oper support hurrican harvey
25,300450,65,uscgheartland cg cutter harri claiborn crew conduct assess texa port hurricaneharvey uscg harvey
26,300450,55,uscgheartland cg flood punt team rescu 940 peopl greater houston metro area harvey uscg info
27,300450,95,usagov there lot misinform spread fast share fema rumor control page help spread accur info
28,300450,192,uscgheartland uscg conduct rooftop rescu near beaumont texa uscg harvey hurricaneharvey
29,300450,8,coast guard cutter harri claiborn crew conduct assess texa port
30,300450,68,uscgsoutheast uscg aircrew savannah head houston support hurricaneharvey oper happeningnow
31,300450,521,uscg morn uscg crew rescu 9000 peopl amp 1000 pet total sinc harvey hit rescu mission con
32,300450,320,cnn us coast guard rescu man dog live cnn andersoncoop
33,300450,631,uscg uscg crew continu conduct rescu rescuedassist 6000 peopl amp 1000 pet harvey wake
34,300450,225,uscgheartland uscg feder state local agenc assist peopl distress port arthur texa hurricaneharvey harv
35,300450,57,coast guard rescu 940 peopl
36,300450,24,coast guard issu partial reopen houstongalveston captain port zone
37,300450,54,coast guard remind civilian drone permit floodafflict area
38,300450,15,updat coast guard continu rescu oper
39,300450,337,uscgheartland uscg aircrew assist infant aftermath hurricaneharvey harvey uscg houston
40,300450,8,media advisori media invit tour new orlean command center coordin coast guard flood respons eff
41,300450,175,uscgheartland us coast guard aircrew rescu harvey victim rise flood water harvey hurricaneharvey uscg
42,300450,122,uscgheartland uscg current 27 coast guard helicopt 3 fixedw aircraft 28 shallow water respons boat conduct searc
43,300450,12,media advisori coast guard leadership hold press confer coast guard sector houstongalveston
44,300450,15,hurrican harvey respons snapshot aug 29 2017
45,300450,99,uscgheartland uscg search rescu video harvey uscg
46,300450,100,lifethreaten situat 1st call 911 2nd local counti emerg oper center unabl connect call
47,300450,20,imag releas coast guard sar oper respons hurrican harvey
