Index,followers,rt,text
0,1288277,13,code classroom much sit behind comput obstacl cours robot student
1,1288277,24,children especi disabl must provid support need empow grow
2,1288277,19,moorefield secretari educ visit moorefield station lcpscttf jillbuss2014 cttfjoshua betsydevos lcpscode
3,1288277,16,officeofedtech learn tech facilit social interact edtech earli childhood brief ele
4,1288277,7,close csedweek visit moorefield today love see student passion c
5,1288277,25,fafsa student loan default breath aaannnnd exhal help get payment low 5month htt
6,1288277,62,suprem court sent strong unanim messag children must given opportun make real p
7,1288277,98,nasaedu time power comput scienc educ week 2017 csedweek visit new page find csforal resourc
8,1288277,13,supercomput energi break differ averag pc supercomput spoiler al
9,1288277,24,comput scienc educ week tonight fellows chat focus rethink stem school join
10,1288277,578,ivankatrump k12 stem educ critic ensur youth prepar career futur join convers
11,1288277,20,express better art word said rhode island teen whose collag display
12,1288277,145,fafsa know feder student loan accru interest everi day save money pay earli andor make extra payment
13,1288277,24,iesresearch new nation statelevel adjust cohort graduat rate announc 201516 school year
14,1288277,51,would rethink stem school join convers tomorrow 8pm est fellows
15,1288277,4,ftc wrap edtechftc forum thank everyon particip person amp onlin well usedgov amp panelist
16,1288277,8,ftc panelist discuss what work well edtech space edtechftc
17,1288277,12,ftc speak michael haw w usedgov cover famili educ right privaci act ferpa edtechftc edtech
18,1288277,6,ftc usedgov heather whitak review technolog advanc timelin edtechftc
19,1288277,9,ftc updat webcast link
20,1288277,19,ftc edtech workshop start 900 et watch live agenda edtechftc
21,1288277,12,check eie17 event live stream
22,1288277,30,student parent borrow start see meaning improv fsa custom experi earli 2
23,1288277,6927,flotu import thank servic member servic especi away famili holiday htt
24,1288277,256,fafsa cant use financi aid money concert ticket use stuff
25,1288277,38,wish happythanksgiv famili ed
26,1288277,20,22year militari veteran share inspir troop teach stori militaryfamilymonth
27,1288277,21,feel extra thank week mani ed employe ground volunt hurrican
28,1288277,17,dyk 14 year host student art exhibit ed recent exhibit showcas artwork b
29,1288277,22,goglob studi abroad help student discov world expand horizon iew2017
30,1288277,49,officeofedtech skill teacher prepar program graduat teacheredchat edtechchat edc
31,1288277,18,ednc field high demand among intern student find oecd educ glanc
32,1288277,20,state state breakdown show impact ecaatst exchang program us iew2017
33,1288277,53,number intern student attend america colleg univers doubl decad ago
34,1288277,27,ednc univers student studi come oecdeduskil iew2017
35,1288277,30,peacecorp motiv teach extend help other year time space never met anyon
36,1288277,24,usaidafghan didyouknow usaid equip 154000 teacher includ 54000 women skill need ensur schoo
37,1288277,25,usaid mari ghana make impact globalhealth intern exchang learn iew2017
38,1288277,18,dyk intern student studi unit state contribut 357b us economi 2015 acco
39,1288277,29,apprenticeship potenti offer america student handson educ need today indemand
40,1288277,17,icymi octob disabilityawarenessmonth read edspedrehab recap student parent teacher serv
41,1288277,60,panel present today art open discuss import art educ student disabl 7t
42,1288277,7,goglob proud share new beglobalreadi seri imag feel free download use school amp classroom
43,1288277,17,ecaatst languagelearn student learn countri world countri iew2017
44,1288277,16,travelgov want studi unit state educationusa host onlin colleg fair 4pm et today novemb 15 join
45,1288277,16,morn ed open ceremoni student art exhibit ubuntu yo soy je sui
46,1288277,8,vsaintl 2017 kencen vsa student art exhibit ubuntu yo soy je sui open morn ribbon cut
47,1288277,10,edpresssec betsydevos tour port aransa school work recov hurricaneharvey assess progress amp see usedgo
48,1288277,75,fafsa weve partner ftc today askfafsa offic hour answer question student loan debt relief sc
49,1288277,8,goglob dyk ed host 1200 intl visitor per year stateivlp help make last connect young foreign leader amer
50,1288277,19,travelgov plan particip intern educ program read countri inform go
51,1288277,167,statedept novemb 1317 statedept usedgov celebr intern educ week encourag american inter
52,1288277,68,languag window cultur understand cultur key understand world
53,1288277,91,ecaatst 201617 us colleg univers host 108 million intern student record high iew2017 opendoorsr
54,1288277,209,statedept novemb 1317 intern educ week join us celebr iew2017 share impact exchang
55,1288277,65,peacecorp happi intern educ week mean teach lesson last lifetim iew2
56,1288277,51,betsydevos import prepar student challeng increasingli interconnect global
57,1288277,194,veteran utmost respect gratitud thankyou servic sacrific contributio
58,1288277,22,kenneth preston longestserv sergeant major armi join us annual veteransday program
59,1288277,15,teachers fellows join us 8pm est first chat new cohort school ambassador f
60,1288277,23,flotu amp betsydevos saw firsthand orchard lake middl school commit antibulli inclus
61,1288277,106,ricardorossello us depart educ secretari betsydevos staff item area need attent
62,1288277,51,ricardorossello seceducacionpr talk betsydevos condit island school plan rebuild
63,1288277,19,teachers fellows join us tonight 8pm est first chat new cohort school amba
64,1288277,39,natlblueribbon school build care love make happen special secretari educ betsi
65,1288277,23,natlblueribbon thank extraordinari commit meet uniqu need student everi day secretari betsydevo
66,1288277,15,watch live tune present 2017 nation blue ribbon award nbrs2017
67,1288277,18,yesterday honor 8 princip outstand school leadership congrat 2017 bell awarde nbrs2017
68,1288277,48,natlblueribbon dont perfect brave messag sydneychaffe reson particip
69,1288277,24,natlblueribbon congratul except work behalf student get posit result assist
70,1288277,176,fafsa ir data retriev tool easiest way add tax inform onlin fafsa form irsdrt
71,1288277,28,stopbullyinggov a2 teacher develop activ encourag selfreflect amp help kid develop emot intellig
72,1288277,23,betsydevos host veteran group discuss educ issu impact servic member veteran amp
73,1288277,13,ednc school year 2004 05 2014 15 overal public charter school enrol increas 09 27 million
74,1288277,9,ednc check recent blog find info chang homeschool student time
75,1288277,12,ednc dyk fall 2000 2014 total enrol public school increas 7 reach 503m student
76,1288277,122,dracula go librari want good book sink teeth safe fun halloween
77,1288277,396,fafsa colleg scari know scarier miss financi aid submit fafsa form ha
78,1288277,14,school ambassador fellow welcom us princip typic day nationalprincipalsmonth
79,1288277,26,thought student educ staff santa rosa return class first time sinc wildfir
80,1288277,13,kansasffa cultiv idea chang world thank secretari devo believ futur agricultur
81,1288277,14,edpresssec betsydevos enjoy ice cream michigan student ffaconvent
82,1288277,5,edpresssec betsydevos explor career path student agexplor booth ffaconvent
83,1288277,16,assist secretari jason botel puerto rico week discuss ed support hurrican recoveri effort wi
84,1288277,53,everi child uniqu challeng abil amp children dyslexia differ simpli learn dif
85,1288277,22,state address bulli differ state antibulli law amp polici stopbullyinggov
86,1288277,10,botel also met governor mapp commission mccollum superintend william discuss ed support usvi
87,1288277,14,assist sec botel travel st croix visit w hurricaneimpact school student return school
88,1288277,17,join us 116 tedstyl talk global compet relat field nation secur iew2017
89,1288277,23,acfhh work young peopl learn way school commun help prevent traffick live 10am
90,1288277,93,import recogn warn sign bulli often kid ask help
91,1288277,269,fafsa fafsa like doctor visit need everi year
92,1288277,75,princip instruct leader school shape academ success student nationalprincipalsmonth
93,1288277,112,educ prepar respond bulli classroom respond make differ
94,1288277,49,oct nation cyber secur awar month check cyber safeti tip student dhsgov
95,1288277,29,write fiction nonfict charact give student new friend new way analyz read whyiwrit
96,1288277,54,write transcend age subject give student voic matter live whyiwrit
97,1288277,30,congratul drrosschapinh 2018 nation princip year poy2018
98,1288277,16,wonder team writer ed ask writer write respons whyiwrit
99,1288277,178,ask dept ed write team write whyiwrit
100,1288277,15,congrat edsimchalleng winner ossovr ar simul prepar student workforc today
101,1288277,171,usdanutrit schoolgarden teach academ along respons teamwork f2smonth farmtoschool
102,1288277,23,iew2017 almost join us two great event highlight import culturalglob compet
103,1288277,126,fafsa happi financi aid day thank amaz financi aid profession work tirelessli serv student day
104,1288277,87,earli identif key unidentifi dyslexia often creat social emot difficulti struggl
105,1288277,47,fun fact us dept ed establish octob 17 1979 today 38th birthday
106,1288277,105,parent encourag kid speak trust adult bulli see other bulli bullyingpreventionmonth
107,1288277,60,adult respond quickli consist bulli behavior send messag accept bullyingpreventionmonth
108,1288277,300,happi nationalprincipalsmonth send huge thank dedic leader hard work gui
109,1288277,16,congratul rural teacher year scott jordan cubarushford central school cuba ny
110,1288277,45,elizabeth limit achiev graduat 2016 valedictorian class
111,1288277,39,icymi mother heartfelt word deep love pride son thing peopl say
112,1288277,275,fafsa parent amp student need help get start 2018 19 fafsa sign free webinar
113,1288277,25,mother heartfelt word deep love pride son thing peopl say dsam2017
114,1288277,21,green stride tour visit school see take learn outsid contribut student success
115,1288277,20,forest kindergarten provid student opportun build relationship peer environ
116,1288277,31,oct downsyndrom awar month nina stori one love celebr strength abil chil
117,1288277,265,fafsa fall rumor get financi aid go fill fafsa
118,1288277,34,fun fact columbusday becam legal feder holiday 1937
119,1288277,68,carter stori support teacher amp accommod creat pathway success student dyslexia
120,1288277,22,collierschool usedgov educ secretari betsydevo thought visit collierschool
121,1288277,12,collierschool uniqu pinecrestsoar class pictur usedgov educ secretari betsydevos
122,1288277,20,collierschool usedgov educ secretari betsydevos hand snack pack pinecrestsoar student pack
123,1288277,13,collierschool teamevg student shake hand get minut say hi usedgov educ secretari betsydevo
124,1288277,25,collierschool usedgov educ secretari betsydevo tour teamevg gym ruin mud surg hurrcaneirma
125,1288277,26,collierschool usedgov educ secretari betsydevo talk teamevg student hurrican experi amp left
126,1288277,8,collierschool soon teamevg student zaiden get chanc shake hand usedgov betsydevos
127,1288277,246,fafsa mani statesschool limit financi aid offer hurri amp fill fafsa miss
128,1288277,13,goglob intern educ week come novemb 1317 2017 usedgov amp goglob celebr
129,1288277,32,iesresearch worldteachersday see latest data public school teacher includ year experi
130,1288277,34,congratul 2700 student select nation winner scholast art write award
131,1288277,163,peacecorp happi worldteachersday thank hardwork educ help student reach full potenti
132,1288277,13,ednc happi worldteachersday learn teacher teach learn environ explor tali
133,1288277,894,thank teacher around world help shape futur student today everi day
134,1288277,289,fail identifi dyslexia earli begin creat achiev gap dyslex reader amp peer earli 1st grade
135,1288277,205,oct dyslexiaawarenessmonth dyslexia one preval languagebas disabl affect
136,1288277,254,fafsa state school run financi aid quickli fill fafsa soon possibl
137,1288277,4388,fafsa break news 2018 19 fafsa avail fill asap get much financi aid possibl
138,1288277,149,fafsa alert bring 2018 19 fafsa 930 9 pm 1 et thank pati
139,1288277,587,fafsa 2018 19 fafsa launch hour review import step get readi
140,1288277,23,flashbackfriday love visit student nelson mandela school zoo school st mari
141,1288277,476,fafsa creat fsa id start fafsa right away oct 1
142,1288277,379,fafsa 3 type fafsa deadlin know
143,1288277,14,must better student must better futur 22 betsydevos
144,1288277,12,futur choic lie recogn america greatest countri histori mankind 12 betsydevos
145,1288277,10,futur choic lie fund support individu student system build betsydevos
146,1288277,5,individu student school seek serv betsydevos 55
147,1288277,2,futur choic lie care less word come school betsydevos 45
148,1288277,5,choic thee politician washington state hous betsydevos 35
149,1288277,9,power prestig financi wherewith make choic betsydevos 25
150,1288277,12,futur choic lie trust empow parent parent betsydevos 15
151,1288277,10,rethink school embrac futur educ one fulli integr choic everi decis make betsydevos
