Index,followers,rt,text
0,986581,68,around fleet today usnavi photo day info download
1,986581,51,live watch usnavi newest sailor graduat boot camp
2,986581,77,usscoronado return san diego 18month deploy welcom home shipmat
3,986581,41,live 945a et watch usnavi newest sailor graduat boot camp
4,986581,55,4 chang need know navi portal
5,986581,148,dalla hold inactiv ceremoni 36 year servic
6,986581,50,lt cmdr robert lennon honor 2017 health care hero
7,986581,319,radioman 3rd class howard w bean assign ussoklahoma wwii laid rest arlingtonnatl yesterd
8,986581,150,usnhistori attack pearlharbor last one hour 15 minut check interest stori map th
9,986581,389,usnhistori attack pearlharbor 2403 total live lost includ 68 civilian read
10,986581,287,mt usnhistori otd 76 year ago japanes militari launch surpris attack us naval base
11,986581,313,live et pearlharbor76 remembr day ceremoni
12,986581,197,live 1245p et pearlharbor76 remembr day ceremoni
13,986581,116,around fleet today usnavi photo day info download
14,986581,121,namesak famili tiger embark usshoward
15,986581,107,new york board team forc maritim secur
16,986581,140,uss nimitz return naval base kitsap
17,986581,85,navi announc 2018 navi week schedul file photo
18,986581,136,around fleet today usnavi photo day info download
19,986581,45,mt secnav76 icymi morn secnav76 swore mr jame hondo geurt next assist secretari
20,986581,34,mt icymi secnav76 spoke us naval institut 2017 defens forum discuss prioriti amp sha
21,986581,204,navi launch new brand campaign taglin armynavi game
22,986581,37,mt icymi secnav76 swore mr thoma b modli monday dec 3 2017 usnavyundersec navi
23,986581,134,peopl make us navi best world around fleet today usnavi photo day info
24,986581,79,usslakeeri arriv hawaii seven month deploy 7th 5th fleet area oper
25,986581,119,icymi navi posthum award bronz star medal valor chief boatswain mate joseph l georg
26,986581,123,mondaymotiv hooyah one week closer holiday leav
27,986581,142,around fleet today usnavi photo day info download
28,986581,55,icymi usnavi spearhead deptofdefens hivaid prevent program via allhandsmag
29,986581,215,ussstethem return yokosuka japan fall patrol western pacif file pic
30,986581,93,mt amphib7flt usswasp make stop brazil steadili make way across atlant pacif
31,986581,121,usnavi doctor bring medic care amazon navymedicin
32,986581,143,usnavi posthum award bronz star medal valor pearlharbor via usnhistori
33,986581,387,usstheodoreroosevelt carrier strike group carrier air wing 17 began sorti friday arabiangulf supporti
34,986581,69,icymi around fleet friday usnavi photo day info download
35,986581,142,today ussfitzgerald depart fleet activ yokosuka aboard heavi lift transport vessel mv transshelf
36,986581,282,today usstheodoreroosevelt carrier strike group carrier air wing 17 begin sorti arabiangulf supporti
37,986581,57,navairnew look leverag vr tech flight simul trainer flynavi
38,986581,61,around fleet today usnavi photo day info download
39,986581,41,usnavi spearhead deptofdefens hivaid prevent program via allhandsmag
40,986581,426,today usstheodoreroosevelt carrier strike group carrier air wing 17 begin sorti arabiangulf supporti
41,986581,194,fridayfeel pictur say thousand word
42,986581,47,live watch usnavi newest sailor graduat boot camp
43,986581,74,live 945a et watch usnavi newest sailor graduat boot camp
44,986581,280,wwii usnavi veteran celebr 100th birthday
45,986581,41,usnavi weather radar support hurrican relief effort hurricaneseason
46,986581,64,usnavi doctor bring medic care amazon
47,986581,132,tbt 2017 hurrican season end today recogn hard work usnavi shipmat follow hur
48,986581,1,septiceyefanzz mustang904 jeff charact guid peopl annual mandatori computerbas
49,986581,64,oper safe digit environ protect usnavi cybersecur hand effort vigil
50,986581,272,thursdaythought one word wow
51,986581,33,secnav76 censur retir senior offic follow thorough review interact glenn defens marin
52,986581,89,ussvellagulf visit agadir morocco
53,986581,66,amphibi squadron 1 hold chang command ceremoni
54,986581,100,ussjamesewilliam arriv odessa ukrain
55,986581,108,around fleet today usnavi photo day info download
56,986581,48,amphib7flt final shot usschief 3ja wrap jmsdf
