Index,followers,rt,text
0,765754,32,treasuri sanction jamaicabas islam cleric abdullah ibrahim alfais faisal recruit provid
1,765754,170,stevenmnuchin1 well done congratul senat budget committe progress histor taxreform bill ameri
2,765754,31,top economist agre taxreform lead substanti econom growth
3,765754,79,treasuri sanction trade labor ship compani vessel isol north korea disrupt il
4,765754,130,treasuri design largescal irgcqod forc counterfeit ring iranian network print counterfeit yemeni bank
5,765754,763,ivankatrump great morn talk taxreform reptommacarthur amp treasuri secretari mnuchin bayvil nj seek histor
6,765754,275,treasuri sanction ten venezuelan govern offici associ undermin elect media censorship cor
7,765754,9,econclubni watch program w ustreasuri sec stevenmnuchin1 convo w mariabartiromo facebook live ecnymnuchin htt
8,765754,147,foxnew tonight ivankatrump amp stevenmnuchin1 sit tuckercarlson talk tax reform tune 8p et fox news channel
9,765754,1058,ivankatrump excit ca w stevenmnuchin1 advoc taxreform admin prioriti get done amer
10,765754,1113,mbaalthani great meet ustreasuri sec stevenmnuchin1 earlier today discuss fight terror financ
11,765754,86,stevenmnuchin1 great meet w royal high sheikh moham bin zay al nahyan uae strong partnership counter terror
12,765754,58,stevenmnuchin1 discuss region amp econom issu w high sheikh hame bin zay alnahyan abu dhabi invest author
13,765754,41,stevenmnuchin1 discuss uae econ issu w minist state financi affair obaid altay central bank gov almanso
14,765754,77,mariabartiromo thnx stevenmnuchin1 ustreasuri great intrvw amp terrorist financ target cntr morningsmaria foxbusi htt
15,765754,74,treasuri terrorist financ target center gulf partner issu first joint terror sanction
16,765754,1933,ivankatrump enjoy visit buck counti pa town hall taxreform amp work famili agenda ustreasuri jovita carr
17,765754,76,stevenmnuchin1 today cea report show taxreform lead pay rais american worker amp famili
18,765754,74,stevenmnuchin1 anoth great meet w brunolemair focus critic collabor usa amp franc econ amp nation
19,765754,220,stevenmnuchin1 strong leadership presid realdonaldtrump eo make healthcar access afford competi
20,765754,27,stevenmnuchin1 excel discuss w draghibc continu collabor europ usa global econ growth
