Index,followers,rt,text
0,16081720,233,let stay open busi
1,16081720,459,secretaryacosta last month american economi ad 228000 job sinc januari economi ad 17 million job
2,16081720,400,presid trump approv california emerg declar
3,16081720,265,tombossert45 realdonaldtrump send direct feder assist cawildfir declar major disast request je
4,16081720,3006,flotu grate opportun spend time children famili yesterday want thank medica
5,16081720,2023,vp thank potu amp flotu host last night hanukkah parti whitehous jewish friend look forward begin
6,16081720,7818,realdonaldtrump tonight flotu melania thrill welcom mani wonder friend whitehous wish
7,16081720,12446,realdonaldtrump across battlefield ocean harrow sky europ pacif throughout war one great battl cr
8,16081720,202,catch today west wing read
9,16081720,430,adam michel famili across america expect tax cut
10,16081720,1581,vp special honor join potu trump welcom surviv veteran attack pearl harbor presid said ameri
11,16081720,1815,presid trump proclaim decemb 7 2017 nation pearl harbor remembr day
12,16081720,11947,realdonaldtrump today rememb pearl harbor incred honor join surviv veteran attack 1
13,16081720,2863,presssec honor meet american hero whitehous today pearlharborrememberanceday
14,16081720,5263,flotu way childrenshealth read christma book visit brave patient pleas keep stru
15,16081720,379,say support presid trump decis recogn jerusalem israel capit
16,16081720,458,jdgreenblatt45 potu courag speech recogn jerusalem israel capit today reflect current histor realiti matt
17,16081720,352,noth less recognit realiti
18,16081720,430,watch live presid trump sign proclam nation pearl harbor remembr day
19,16081720,21280,realdonaldtrump today entir nation paus rememb pearl harbor brave warrior day stood tall fought
20,16081720,2069,nation pearl harbor remembr day rememb live lost famili torn love one
21,16081720,328,west wing staff read
22,16081720,976,presid trump proclam jerusalem capit state israel
23,16081720,200,hhsgov hh opioid codeathon start team 24 hour use data amp tech develop innov solut address
24,16081720,38091,realdonaldtrump determin time offici recogn jerusalem capit israel also direct
25,16081720,1437,repdavidkustoff 8 year obama administr failur support closest alli send power messag
26,16081720,775,presid trump commit achiev last peac agreement isra palestinian read
27,16081720,2685,presid trump follow promis recogn jerusalem capit state israel
28,16081720,12898,realdonaldtrump join live whitehous via periscop
29,16081720,1729,presid trump give statement jerusalem
30,16081720,567,major announc jerusalem
31,16081720,13642,realdonaldtrump thought prayer everyon path california wildfir encourag everyon heed adv
32,16081720,307,wsj right move monument
33,16081720,6963,flotu thought amp prayer affect wildfir california thank first respond heroic effort
34,16081720,328,tombossert45 spoke jerrybrowngov pray peopl ventura la counti path wildfir th
35,16081720,461,west wing staff read today
36,16081720,576,fema approv fire manag grant california help firefight battl thomasfir
37,16081720,282,dhsgov act secretari duke statement senat confirm kirstjen nielsen sixth secretari dhsgov
38,16081720,1440,ive come utah take histor action revers feder overreach restor right land
39,16081720,6501,flotu head texa tomorrow secondladi continu support affect hurricaneharvey everi step
40,16081720,353,repdougcollin american famili worker expect taxreform pretti much opposit armageddon thank
41,16081720,432,applic summer 2018 white hous internship program open appli
42,16081720,14383,realdonaldtrump yesterday thrill mani wonder friend utah magnific capitol honor sig
43,16081720,446,ethan lane trump realli shrink govern start nation monument
44,16081720,330,say presid speech salt lake citi ut
45,16081720,479,anoth day anoth record
46,16081720,336,catch west wing staff read today
47,16081720,1692,vp import dialogu bashar warda archbishop erbil potu commit directli assist persecut christian amp
48,16081720,1052,vp congratul ambassador ed mcmullen leadership potu trump ambassador mcmullen america ambassador
49,16081720,743,presid trump end past overreach abus monument review process antiqu act ha
50,16081720,777,la vega reviewjourn economi show major progress presid donald trump
51,16081720,1255,natresourc thank realdonaldtrump amp secretaryzink put peopl ahead polit anoth promis kept bearsea
52,16081720,598,presid trump stand local commun govern overreach land manag
53,16081720,411,senat major leader mitch mcconnel tax reform what
54,16081720,322,watch live presid trump give remark utah state capitol
55,16081720,355,washington examin democrat straw man fight tax cut
56,16081720,416,road ahead tax reform
57,16081720,4754,christma stori begin 2000 year ago mother father babi son extraordinari gift
58,16081720,3768,vp karen enjoy great christma parti even home naval observatori member secret servic
59,16081720,1666,nation christma tree light presid trump reviv tradit religi spirit read
60,16081720,3904,62 year ago week brave seamstress montgomeri alabama utter one word chang histori
61,16081720,1334,administr look forward work congress fulfil promis made deliv histor tax c
62,16081720,17260,realdonaldtrump one step closer deliv massiv tax cut work famili across america special thank senatema
63,16081720,570,scavino45 happen vp michael penc phone offic us capitol taxreform taxcut taxcutsandjobsact
64,16081720,6278,flotu today worldaidsday honor lost live aid celebr remark progress made
65,16081720,410,take took west wing staff read today
66,16081720,15758,realdonaldtrump economist tax cut job act enact comprehens overhaul complet lower corpor
67,16081720,22552,realdonaldtrump media specul fire rex tillerson would leav soon fake news leavi
68,16081720,242,depsechargan visit mechanicsvil virginia yesterday get firsthand look success collabor aclgov
69,16081720,619,senat close tax reform
70,16081720,366,yesterday us announc pepfar reach histor high prevent hiv infect save mo
71,16081720,6723,presid trump proclaim today worldaidsday
72,16081720,669,statement presssec kate steinl case
73,16081720,1485,dcexamin boom trump deregul alreadi save 378 million billion next year
74,16081720,47555,realdonaldtrump christma stori begin 2000 year ago mother father babi son extraordinari gift
75,16081720,278,check west wing staff read
76,16081720,1450,christma remind ever famili bedrock american life christma
77,16081720,1145,thank militari men women station around world keep us safe thank law enforcemen
78,16081720,1179,everi year christma time recogn real spirit christma abou
79,16081720,1023,watch live presid trump first ladi take part light nation christma tree
80,16081720,2248,presid trump first ladi take part light nation christma tree
81,16081720,405,icymi novemb nation veteran militari famili month
82,16081720,361,nation taxpay union tax reform make america competit
83,16081720,2159,act hhsgov secretari eric hargan join presssec today announc presid trump decid donat
84,16081720,430,small busi critic economi succeed countri
85,16081720,679,democrat support tax reform oppos
86,16081720,566,say prais presid trump tax reform speech missouri
87,16081720,2460,vp potu entir administr go roll sleev go work cut tax across board worki
88,16081720,586,rate coalit open letter congress sign 137 economist support gop tax reform bill
89,16081720,1816,vote cut tax vote put america first time take care worker protect
90,16081720,444,presid trump give small busi boost read
91,16081720,331,today west wing read
92,16081720,11507,realdonaldtrump vote cut tax vote put america first time take care worker protect commun
93,16081720,12528,realdonaldtrump week senat join hous amp take strong stand middl class famili backbon
94,16081720,466,presid trump promot american entrepreneurship
95,16081720,346,higher growth increas wage job
96,16081720,507,dow jone us gdp growth revis 33 rate third quarter
97,16081720,597,small busi primari driver american economi succeed countri
98,16081720,1508,beat heart plan tax cut work famili go make sure keep hardearn money
99,16081720,878,lifetim opportun restor american prosper reclaim america destini
100,16081720,427,today alway main street heart economi soul commun
101,16081720,309,watch live presid trump deliv remark tax reform
102,16081720,401,hill trump open gop eye tax reform
103,16081720,318,secshulkin join great group state local leader veteran commun whitehous begin afternoon
104,16081720,488,usa today dow post biggest gain 3 month tax overhaul optim
105,16081720,330,momentum build big week tax reform
106,16081720,2372,vp 70 year ago recogn futur jewish peopl lay state could call amp today potu work tire
107,16081720,250,check west wing staff read today
108,16081720,257,wall street journal america new energi diplomaci
109,16081720,911,statement presssec tax cut job act pass senat budget committe
110,16081720,270,budgetgop break news senat budget committe report fy 2018 budget reconcili legisl focus taxreform
111,16081720,296,givingtuesday pleas consid support one organ partner us help commun reb
112,16081720,5234,presssec potu brief missil still air situat north korea
113,16081720,2152,icymi yesterday flotu unveil christma white hous 2017 timehonor tradit
114,16081720,423,investor busi daili latest tax cut lie senat bill hurt poor
115,16081720,370,special messag holiday season
116,16081720,7302,realdonaldtrump statement presid donald j trump givingtuesday
117,16081720,2947,presssec wisconsin plant manag explain tax cut bill go empow american compani worker win
118,16081720,385,catch west wing staff read today edit west wing read
119,16081720,884,sen rand paul here plan vote senat tax bill
120,16081720,474,economist tax reform lift economi
121,16081720,619,christma white hous 2017 number
122,16081720,2267,vp potu amp administr absolut commit cut tax work famili amp usher new era american pro
123,16081720,463,tax reform time christma
124,16081720,809,vp product meet w kingabdullahii whitehous thank jordan leadership region amp effort hel
125,16081720,637,20182019 white hous fellow applic open presid commiss white hous fellowship
126,16081720,302,wall street journal tax reform growth deficit
127,16081720,16099,realdonaldtrump tax cut bill come along well great support chang mathemat middl cla
128,16081720,1689,stephgrisham45 year gingerbread hous bake w 300 lb dough amp featur flotu signatur wreath timehonoredtraditio
129,16081720,1063,flotu melania trump unveil christma white hous 2017
130,16081720,44294,flotu decor whitehous readi celebr wish merri christma amp joyou holiday season
131,16081720,397,stephgrisham45 also 31000 differ cooki bake anticip 25k visitor tour whiteho
132,16081720,465,stephgrisham45 number 150 volunt 29 state spent 1600 hour help bring flotu vision chri
133,16081720,1330,believ everyday american know better spend money feder bureaucraci want
134,16081720,399,happi smallbusinesssaturday sbalinda explain holiday shop help neighborhood entrepreneur
135,16081720,11357,realdonaldtrump happi smallbusinesssaturday great day support commun america job creator shop local
136,16081720,441,sbagov happi small busi saturday support commun shop smallbiz today shopsmal
137,16081720,450,usdol today smallbizsat great time visit favorit small busi shopsmal
138,16081720,347,sbalinda happi small busi saturday treasur find local commun today find holid
139,16081720,1182,sign name stand presid trump support action broken tax system today
140,16081720,4352,vp evil cowardli terrorist attack worship egypt condol amp prayer victim amp famili
141,16081720,33865,realdonaldtrump horribl cowardli terrorist attack innoc defenseless worship egypt world cannot toler terr
142,16081720,402,investor busi daili come taxcut boom
143,16081720,700,current tax code hurt american famili worker busi reform creat system ev
144,16081720,894,presid georg washington issu first thanksgiv proclam 1789 becam feder holiday p
145,16081720,5135,presssec happi thanksgiv particularli men amp women militari away famili today grate selfl
146,16081720,24675,realdonaldtrump happi thanksgiv
147,16081720,9874,flotu thrill spend part thanksgiv w local coast guard station florida thank member militari
148,16081720,1015,deptofdefens usnationalguard soldier spc sierra torr wish famili friend happythanksgiv puertorico
149,16081720,5404,togeth give thank love one grace live hero protect nation
150,16081720,1648,happi thanksgiv presid first ladi wish american peac happi healthi start ho
151,16081720,370,catch today west wing read
152,16081720,647,know spare nation thanksgiv turkey becom dinner becam tradit presid reaga
153,16081720,915,yesterday drumstick turkey special guest honor white hous
154,16081720,15196,flotu prepar underway celebr holiday whitehous
155,16081720,881,gather famili give thank nation
156,16081720,1345,presid trump proclaim thursday nation day thanksgiv
157,16081720,294,west wing staff read today
158,16081720,14854,realdonaldtrump today continu wonder american tradit white hous drumstick wishbon live day
159,16081720,604,interior import symbol puertorico heritag san juan nation histor site reopen visitor
160,16081720,6891,flotu congratul drumstick pardon potu love amp wishbon whitehous
161,16081720,1462,vp potu amp administr made promis deliv histor tax cut american peopl moment
162,16081720,299,wall street journal north korea terror sponsor
163,16081720,302,today celebr 70th anniversari nation thanksgiv turkey present
164,16081720,279,timelin year presidenti turkey pardon
165,16081720,547,watch live presid trump first ladi particip pardon nation thanksgiv turkey
166,16081720,2695,presid trump first ladi particip pardon nation thanksgiv turkey
167,16081720,361,step toward denuclear north korea
168,16081720,745,nation thanksgiv turkey drumstick today ceremoni drumstick wishbon joi
169,16081720,430,sen david perdu simpl truth america aw tax code learn fortun 500 ceo
170,16081720,13681,flotu thank silent night evergreen wisconsin beauti tree potu barron amp excit christma new
171,16081720,307,check west wing read today
172,16081720,809,celebr achiev plan prosper
173,16081720,857,watch live flotu receiv 2017 white hous christma tree
174,16081720,262,wall street journal reduc corpor tax game
175,16081720,347,investor busi daili come taxcut boom
176,16081720,4720,presssec potu announc us design north korea state sponsor terror
177,16081720,701,meet wishbon
178,16081720,1161,turkey pardon nation thanksgiv turkey pardon ceremoni pardon
179,16081720,779,meet drumstick
180,16081720,1813,two turkey drumstick wishbon particip year nation thanksgiv turkey pardon ceremo
181,16081720,1150,sign name stand presid trump support action broken tax system today
182,16081720,8412,presssec get closer everyday presid trump leadership defeat isi caliph pass massiv tax cu
183,16081720,5941,vp america momentum right order turn momentum sustain econom growth potu amp go fight
184,16081720,1203,yesterday presid trump welcom 18 ncaa championship team white hous collegi nation champion
185,16081720,2516,hill unemploy rate hit record low 13 state year
186,16081720,395,read west wing read
187,16081720,10939,realdonaldtrump today honor celebr collegi nation champion 20162017 whitehous ncaachampion
188,16081720,5749,flotu year whitehous christma booklet print excit receiv beauti tree monday christmastradit h
189,16081720,339,tax progress capitol hill
190,16081720,597,washington examin want cut busi tax pay
191,16081720,394,statement presssec tax reform pass senat financ committe
192,16081720,1892,vp told taxfound 227 member congress took histor first step tax reform afford let slow
193,16081720,505,gopsenfin break senat financ committe advanc tax overhaul packag anoth step closer deliv middleclass tax rel
194,16081720,19931,realdonaldtrump togeth go restor safeti street peac commun go destroy vi
195,16081720,312,west wing read
196,16081720,435,berni marcu tax reform bill give small busi plenti thank
197,16081720,666,tuesday novemb 21st presid trump pardon nation thanksgiv turkey ceremoni rose g
198,16081720,5163,vp great day american peopl potu said big step toward fulfil promis deliv histor tax cut
199,16081720,16226,realdonaldtrump congratul hous repres pass taxcutsandjobsact big step toward fulfil
