Index,followers,rt,text
0,69330,25,intim partner violenc screen guidanc new issu journal women health
1,69330,10,account close get news nih research women health nihorwh amp janineclaytonmd ff
2,69330,5,account close follow nihorwh amp janineclaytonmd nih womenshealth news
3,69330,3,thank follow us account close pleas follow nihorwh amp janineclaytonmd womenshealth news nih
4,69330,10,fund opportun gt
5,69330,14,could dark chocol help eas poor leg circul gt
6,69330,8,join manupchat today 2pm et minorityhealth partner discuss men health
7,69330,25,vitamin key longer life gt
8,69330,8,womenshealthr check research wide rang topic import women health
9,69330,11,yalesph racial dispar persist breast cancer therapi
10,69330,39,veteranshealth women veteran know support line question specif women health care call 1
11,69330,25,swhr women 2x like men advers reaction prescript drug womenshealthmatt
12,69330,10,swhr focus sex gender differ obes 2014 nation scientif x confer washington
13,69330,14,yale leptin also influenc brain cell control appetit yale research find
14,69330,8,umsph new um studi found mammographi led less latestag breast cancer
15,69330,7,short birth space link preterm deliveri gt
16,69330,7,hormon level womb tie autism risk boy gt
17,69330,0,regist dcoe webinar seri june 12 130 concuss affect men differ women gt
18,69330,9,diabet may bigger threat femal heart studi gt
19,69330,5,nih studi link high cholesterol level lower fertil gt
20,69330,6,bebrightpink womenshealthnih pl take bebrightpink challeng amp assessyourrisk breastovarian cancer go
21,69330,77,hhsgov natl women health week take pledg schedul wellwoman visit nwhw
22,69330,8,cdcstd check cdc health dispar amp inequ report highlight key healthdispar data
23,69330,3,nihorwh dyk men get physic activ women check today womenshealth nwhw infograph learn
24,69330,11,pay attent mental health nwhw sure get enough sleep amp manag stress
25,69330,4,join women across countri pledg get activ nwhw
26,69330,8,nihorwh sever factor play role vision dispar btw women men age menopaus econom issu neichat
27,69330,3,nihorwh fact everi cell bodi sex woman femal cell skin lung heart brain eye neichat
28,69330,4,nihorwh health factor differ men women even beyond reproduct system neichat
29,69330,10,nateyeinstitut rememb dilat eye exam way detect common eye diseas earli stage neichat
30,69330,7,nihorwh eye chang signal presenc mani underli condit high blood pressur diabet cancer autoimmun diseas
31,69330,12,janineclaytonmd women tend live longer men women get eye diseas sinc age key risk factor vision pr
32,69330,5,masseyeandear know 23 blind visual impair occur women learn neichat
33,69330,32,nat l women checkupday take care health schedul wellwoman visit nwhw
34,69330,1,nateyeinstitut look forward today neichat women eye health join nei nihorwh amp janineclaytonmd 23p et
35,69330,0,nateyeinstitut neichat
36,69330,9,major women health studi paid big dividend gt
37,69330,6,freez techniqu may work women earli breast cancer gt
38,69330,3,jobless unwant side effect chemo breast cancer gt
39,69330,29,rocktalk listen new nih resubmiss polici blog thank extramur com
40,69330,8,facebook make women feel bad bodi gt
41,69330,4,nihorwh news janineclaytonmd announc fund admin supplement grant sexgend research
42,69330,4,fertil drug may rais breast cancer risk studi gt
43,69330,5,diet soft drink contribut heart troubl women gt
44,69330,4,two surgeri pelvic prolaps found similarli effect safe gt
45,69330,9,alzheim strike women harder men report
46,69330,6,fda panel recommend hpv test replac pap smear gt
47,69330,3,time move vp mr presid readi move potu let thing letsmov watch
48,69330,23,heart attack risk rise hour angri outburst studi gt
49,69330,4,obes birth control pill rais risk multipl sclerosi gt
50,69330,4,obgyn group issu guidelin lower csection rate gt
51,69330,4,blood clot risk remain higher normal least 12 week women deliv babi gt
52,69330,8,expand dna test might allow person breast cancer treatment gt
53,69330,17,nih studi find regular aspirin use may reduc ovarian cancer risk gt
54,69330,1,mani young american hiv delay treatment studi gt
55,69330,10,mani women hot flash last 10 year menopaus gt
56,69330,3,ff women health research updat nih offic research women health nihorwh womenshealth
57,69330,3,hear loss tie faster brain shrinkag age gt
58,69330,3,firsttim cesarean rate dip 2012 cdc gt
59,69330,1,fund opportun mobil research research resourc enhanc mhealth research gt
60,69330,8,cervic cancer screen found benefit older women new studi gt
61,69330,11,ear tube may longterm benefit kid ear infect gt
62,69330,17,cancer prevent guidelin seem pay older women gt
63,69330,7,breastfeed might reduc mom odd rheumatoid arthriti gt
64,69330,58,womenshealth cervicalcanc easiest femal cancer prevent regular screen amp follow
65,69330,5,today perfect day set healthi goal year check idea gt
66,69330,12,pleas rememb drink respons tonight call cab happi safe healthi nye
67,69330,6,midlif job stress link later health problem gt
68,69330,2,health tip avoid food poison holiday travel gt
69,69330,4,claim virgin birth us near 1 percent studi gt
70,69330,6,heart diseas link dementia older postmenopaus women gt
71,69330,5,antidepress use pregnanc link autism gt
72,69330,1,womenshealth merri miseri fdafood parti part holiday cheer merri chang miseri w food
73,69330,6,expert dont wast money multivitamin gt
74,69330,90,usfda buy antibacteri soap reduc risk get infect data suggest
75,69330,8,nlmnew lose sleep holiday season well 7 step better sleep busi season
76,69330,6,womenshealth share gt need idea holiday meal makeov tri
77,69330,7,womenshealth open enrol marketplac plan end march 31 wait enrol
78,69330,4,unsur eat fish pregnantbreastfeed import benefit babi recommend
79,69330,4,diabet drug may affect cancer risk women studi gt
80,69330,15,womenshealth buy gift kiddi life awar potenti lead hazard toy jewelri
81,69330,5,new test may help predict surviv ovarian cancer gt
82,69330,20,wash hand one import thing prevent ill gt handwashingawarenessweek
83,69330,25,womenshealth import 1 4 peopl live hiv us woman get test gt
84,69330,4,even breast cancer gene test neg risk persist studi gt
85,69330,16,womenshealth lead health issu nativ american relat lifestyl know risk give power htt
86,69330,33,womenshealth caregiv stress emot physic strain caregiv learn latest blog post
87,69330,6,much tylenol pregnanc could affect develop
88,69330,6,pleas mind safeti prepar thanksgiv dinner 3x fire thanksgiv
89,69330,3,nurs mother tri use lactm research whether substanc pass breast milk
90,69330,1,nurs mother lactm easi tool use verifi substanc pass breast milk
91,69330,7,nlmsi mt cdcflu cdc recommend peopl either type 1 type 2 diabet get annual flu shot
92,69330,4,antibiot alway answer danger antibiot resist gt
93,69330,3,tip manag holiday care love one gt
94,69330,0,onsafeti 1 reason stand pan 3x fire thanksgiv averag day
95,69330,8,womanshospit bad workout one womanshalf runpink
96,69330,13,fdawomen peopl symptom 50 peopl sex hpv point live
97,69330,2,time month may affect women concuss recoveri
98,69330,6,beverag choic huge impact diabet idea drink besid water wdd
99,69330,25,surgeongener sgreport fact smoker w diabet higher risk heart kidney amp eye diseas quit smoke nation dia
100,69330,8,femal caregiv higher risk depress pleas take care familycaregiversmonth
101,69330,0,health risk cost much higher multipl birth studi
102,69330,30,womenshealth pleas gt smoke caus cancer problem top 11 way hurt women
103,69330,4,nondeliveri hospit stay may rais clot risk pregnanc
104,69330,4,care someon alzheim need help find resourc check
105,69330,17,healthi diabetesfriendli recip quick weeknight dinner diabetesawar
106,69330,10,gestat diabet occur 38 pregnant women understand risk factor pregnant
107,69330,10,nation diabet month 108 us women diabet check medlineplu resourc
108,69330,7,screen hpv may better pap test studi suggest
109,69330,42,womenshealth women like alzheim like take care someon w alzheim
110,69330,8,primari caregiv stress forget take time
111,69330,26,womenshealth singl mom breastfe hear advic singl mom made work itsonlynatur
112,69330,11,nation famili caregiv monthwheth mother take care child child care parent celebr
113,69330,8,infant expos smoke womb risk infect death studi
114,69330,4,12 percent women 50 satisfi bodi
115,69330,2,scandinavia studi find hpv vaccin safe
116,69330,11,scientist uncov breast milk potenti secret weapon hiv
117,69330,2,famili caregiv live longer peer
118,69330,2,stalk take mental toll victim studi confirm
119,69330,6,women health initi reaffirm use shortterm hormon replac therapi younger women
120,69330,41,womenshealth pleas gt help friend abus dvam
121,69330,691,whitehous mammogram 0 birth control 0 prevent care need stay healthi extra cost priceless obamacar
122,69330,15,due laps govern fund new post respons may origin account appropri enact
123,69330,1,nlmdimrc nnlmscr last day disast prepared month check dimrc mobil app take go
124,69330,25,womenshealth marketplac plan must cover contracept cost share love 0 copay birth control
125,69330,6,nihpainresearch know 918 women 1864 yo may experi vulvar pain lifetim vulvodynia painawar h
126,69330,40,sept 26 world contracept day 222 million women want avoid pregnanc lack access birth control
127,69330,3,nlmosp video inform clinicaltri deal wreproductivehealth
128,69330,6,women 1849 interest breastcanc riskprevent help clheming phd candid gwu take survey
129,69330,25,womenshealth pregnant new mom need take extra step prepar emerg gt
130,69330,63,womenshealth pleas exercis lower risk 10 differ diseas ill injuri wow
131,69330,2,nlmosp need research inform womeninthemilitari here good info
132,69330,2,lack support worri often prompt new mother stop breastfeed
133,69330,22,womenshealth pleas join us 926 4et bilingu twitter chat latino amp aca use oursalud cuidadodesalud nlirh n
134,69330,18,womenshealth fact peopl like quit smoke support
135,69330,1,risk develop ovarian cancer reduc pregnanc breastfeed children els lower risk
136,69330,6,nlm4caregiv breastfeed mother use lactm find drug may affect babi
137,69330,13,kidshealth via nprnew succeed breastfeed new mom could use help
138,69330,0,emilydownsideup mani labor induc 39 week necessarili lead cesarean
139,69330,4,let babi set deliveri date wait 39 week
140,69330,8,healthymo miss hbo documentari seri weightofthen kid view seri amp learn nih obes resourc htt
141,69330,2,nation childhood obes month gut microb diet interact affect obes
142,69330,14,womenshealth food check water check umm els goe emerg kit
143,69330,6,fdawomen trivia time blood pressur often greater may need treatment
144,69330,13,septemb ovarian cancer awar month learn protect
145,69330,32,womenshealth prenat care breastfeed support wellchild visit extra cost gt marketplac
146,69330,3,womanshospit cancer treatment complic healthi eat dinner session help sur
147,69330,16,cdcstd hiv transmiss unprotect vagin sex much higher risk women menlt usecondom
148,69330,4,ncitechtransf nci avon foundat center advanc innov launch breast cancer startup challeng
149,69330,14,retweet amp help 186 million uninsur women get readi oct 1 amp start open enrol
150,69330,16,stanford rape mean get defin prof estel freedman examin polit sexual violenc
151,69330,146,healthcaregov start 2014 health insur cant charg women higher premium men learn
152,69330,12,womenshealth health insur marketplac come soon see qualifi lower cost
153,69330,5,nihprev nation prevent council annual statu report avail read nat l improv publichealth goal
154,69330,5,sex gender differ free cme credit avail ummslibrari
155,69330,8,md rn np need cme credit take nih ce sex gender differ ummslibrari
156,69330,26,cdcstd cervic cancer usual symptom critic women get regular screen std
157,69330,0,pleas free cme class sex gender differ md np rn ummslibrari
158,69330,5,fewer famili struggl pay medic bill cdc healthday may skip need care altogeth expert say
159,69330,14,latest women health mobil app ummslibrari resourc whlibguid
160,69330,6,attn women health research new resourc umass abt women health issu whlibguid
161,69330,3,umass women health libguid provid info resourc women health issu expert sourc whlibguid
162,69330,4,latest women health mobil app ummslibrari resourc whlibguid
163,69330,4,latest women health mobil app ummslibrari resourc whlibguid
164,69330,0,learn ebm research help md make angelinajolielik cancer tx decis whlibguid ummslibrari
165,69330,5,celebr women health week learn new ummslibrari resourc whlibguid
166,69330,8,women men brain respond differ hungri infant cri
167,69330,13,sex live often overlook casualti traumat brain injuri
168,69330,7,membran remodel yoga meet cell biolog
169,69330,14,new clue exercis may reduc breast cancer risk
170,69330,6,breast cancer death rate higher black women
171,69330,8,experiment vaccin show promis ovarian cancer
172,69330,8,older women miss mammogram tie wors breast cancer outcom
173,69330,5,iud safe contracept teen studi find
174,69330,13,brisk walk equal run heart health
175,69330,5,nearli 30 percent american high blood pressur cdc
176,69330,0,us coupl live togeth instead marri cdc find
177,69330,6,repeat birth teen girl still high cdc
178,69330,5,studi pinpoint women risk blood clot pregnanc
179,69330,4,breast cancer gene test wont help women
180,69330,2,consensu sex typic doesnt begin teen year studi find
181,69330,4,breast cancer spread lung surgeri may increas surviv
182,69330,12,fdawomen april minorityhealthmonth feel press health issu minor
183,69330,5,mani ovarian cancer patient deni bythebook care studi say
184,69330,10,million still lack access modern contracept studi say
185,69330,17,obes new mother may higher heart attack stroke risk
186,69330,3,heavier pregnant women may face higher csection risk
187,69330,5,petroleum jelli tie vagin infect risk studi
188,69330,5,african american breast cancer survivor face higher heart failur risk
189,69330,2,lessfrequ pap smear may miss cancer precursor
190,69330,1,combo treatment might beat epidur eas labor
191,69330,10,anxieti may common depress pregnanc
192,69330,3,motherhood may spur obsessivecompuls behavior
193,69330,4,csection rate vari wide us hospit
194,69330,3,progress wg intersect hivaid violenc women girl genderrel health dispar
195,69330,1,cdcstd hpv vaccin men particularli men sex w men std
196,69330,3,swhr check contribut writer newest articl endometriosi affect million women year
197,69330,2,dailyus hiv prevent approach prove ineffect among women nih studi
198,69330,10,evid smoke rais breast cancer risk
199,69330,4,advanc breast cancer inch young women
